frequency_hz,method,psd_n2m2_per_hz
0.000000,unshaped,2.118906e+00
0.097656,unshaped,1.122234e+02
0.195313,unshaped,4.845521e+01
0.292969,unshaped,1.278056e+01
0.390625,unshaped,7.671887e+00
0.488281,unshaped,4.579046e+00
0.585938,unshaped,3.181566e+00
0.683594,unshaped,2.322796e+00
0.781250,unshaped,1.755707e+00
0.878906,unshaped,1.397257e+00
0.976563,unshaped,1.117046e+00
1.074219,unshaped,9.310092e-01
1.171875,unshaped,7.743191e-01
1.269531,unshaped,6.643530e-01
1.367188,unshaped,5.685156e-01
1.464844,unshaped,4.979126e-01
1.562500,unshaped,4.351369e-01
1.660156,unshaped,3.870875e-01
1.757813,unshaped,3.438079e-01
1.855469,unshaped,3.095348e-01
1.953125,unshaped,2.785854e-01
2.050781,unshaped,2.531198e-01
2.148438,unshaped,2.303929e-01
2.246094,unshaped,2.108141e-01
2.343750,unshaped,1.937462e-01
2.441406,unshaped,1.783107e-01
2.539063,unshaped,1.651894e-01
2.636719,unshaped,1.528317e-01
2.734375,unshaped,1.424774e-01
2.832031,unshaped,1.325041e-01
2.929688,unshaped,1.241122e-01
3.027344,unshaped,1.160228e-01
3.125000,unshaped,1.090631e-01
3.222656,unshaped,1.024602e-01
3.320313,unshaped,9.659420e-02
3.417969,unshaped,9.115079e-02
3.515625,unshaped,8.616049e-02
3.613281,unshaped,8.161312e-02
3.710938,unshaped,7.734660e-02
3.808594,unshaped,7.349431e-02
3.906250,unshaped,6.983200e-02
4.003906,unshaped,6.652912e-02
4.101563,unshaped,6.336944e-02
4.199219,unshaped,6.051199e-02
4.296875,unshaped,5.776887e-02
4.394531,unshaped,5.527941e-02
4.492188,unshaped,5.288361e-02
4.589844,unshaped,5.069984e-02
4.687500,unshaped,4.859831e-02
4.785156,unshaped,4.666769e-02
4.882813,unshaped,4.481970e-02
4.980469,unshaped,4.309877e-02
5.078125,unshaped,4.147047e-02
5.175781,unshaped,3.992593e-02
5.273438,unshaped,3.848617e-02
5.371094,unshaped,3.709456e-02
5.468750,unshaped,3.581356e-02
5.566406,unshaped,3.455899e-02
5.664063,unshaped,3.340953e-02
5.761719,unshaped,3.227989e-02
5.859375,unshaped,3.123938e-02
5.957031,unshaped,3.022318e-02
6.054688,unshaped,2.927484e-02
6.152344,unshaped,2.835963e-02
6.250000,unshaped,2.749204e-02
6.347656,unshaped,2.666476e-02
6.445313,unshaped,2.587002e-02
6.542969,unshaped,2.511837e-02
6.640625,unshaped,2.439013e-02
6.738281,unshaped,2.370375e-02
6.835938,unshaped,2.303588e-02
6.933594,unshaped,2.240669e-02
7.031250,unshaped,2.179309e-02
7.128906,unshaped,2.121475e-02
7.226563,unshaped,2.064978e-02
7.324219,unshaped,2.011679e-02
7.421875,unshaped,1.959580e-02
7.519531,unshaped,1.910297e-02
7.617188,unshaped,1.862234e-02
7.714844,unshaped,1.816477e-02
7.812500,unshaped,1.772144e-02
7.910156,unshaped,1.729496e-02
8.007813,unshaped,1.688583e-02
8.105469,unshaped,1.648737e-02
8.203125,unshaped,1.610894e-02
8.300781,unshaped,1.573658e-02
8.398438,unshaped,1.538508e-02
8.496094,unshaped,1.503760e-02
8.593750,unshaped,1.470943e-02
8.691406,unshaped,1.438572e-02
8.789063,unshaped,1.407798e-02
8.886719,unshaped,1.377659e-02
8.984375,unshaped,1.348722e-02
9.082031,unshaped,1.320630e-02
9.179688,unshaped,1.293398e-02
9.277344,unshaped,1.267145e-02
9.375000,unshaped,1.241523e-02
9.472656,unshaped,1.216917e-02
9.570313,unshaped,1.192810e-02
9.667969,unshaped,1.169693e-02
9.765625,unshaped,1.146999e-02
9.863281,unshaped,1.125246e-02
9.960938,unshaped,1.103860e-02
10.058594,unshaped,1.083363e-02
10.156250,unshaped,1.063193e-02
10.253906,unshaped,1.043845e-02
10.351563,unshaped,1.024819e-02
10.449219,unshaped,1.006511e-02
10.546875,unshaped,9.885755e-03
10.644531,unshaped,9.712031e-03
10.742188,unshaped,9.543022e-03
10.839844,unshaped,9.377860e-03
10.937500,unshaped,9.218480e-03
11.035156,unshaped,9.061390e-03
11.132813,unshaped,8.910744e-03
11.230469,unshaped,8.761483e-03
11.328125,unshaped,8.618613e-03
11.425781,unshaped,8.477027e-03
11.523438,unshaped,8.341073e-03
11.621094,unshaped,8.206925e-03
11.718750,unshaped,8.077255e-03
11.816406,unshaped,7.950143e-03
11.914063,unshaped,7.826359e-03
12.011719,unshaped,7.705753e-03
12.109375,unshaped,7.587606e-03
12.207031,unshaped,7.472949e-03
12.304688,unshaped,7.360223e-03
12.402344,unshaped,7.251032e-03
12.500000,unshaped,7.143467e-03
12.597656,unshaped,7.039363e-03
12.695313,unshaped,6.936665e-03
12.792969,unshaped,6.837330e-03
12.890625,unshaped,6.739225e-03
12.988281,unshaped,6.644341e-03
13.085938,unshaped,6.550620e-03
13.183594,unshaped,6.459839e-03
13.281250,unshaped,6.370359e-03
13.378906,unshaped,6.283324e-03
13.476563,unshaped,6.197953e-03
13.574219,unshaped,6.114366e-03
