time_s,method,torque_nm
0.000000,unshaped,1.291544e+01
0.010000,unshaped,1.291544e+01
0.020000,unshaped,1.291544e+01
0.030000,unshaped,1.291544e+01
0.040000,unshaped,1.291544e+01
0.050000,unshaped,1.291544e+01
0.060000,unshaped,1.291544e+01
0.070000,unshaped,1.291544e+01
0.080000,unshaped,1.291544e+01
0.090000,unshaped,1.291544e+01
0.100000,unshaped,1.291544e+01
0.110000,unshaped,1.291544e+01
0.120000,unshaped,1.291544e+01
0.130000,unshaped,1.291544e+01
0.140000,unshaped,1.291544e+01
0.150000,unshaped,1.291544e+01
0.160000,unshaped,1.291544e+01
0.170000,unshaped,1.291544e+01
0.180000,unshaped,1.291544e+01
0.190000,unshaped,1.291544e+01
0.200000,unshaped,1.291544e+01
0.210000,unshaped,1.291544e+01
0.220000,unshaped,1.291544e+01
0.230000,unshaped,1.291544e+01
0.240000,unshaped,1.291544e+01
0.250000,unshaped,1.291544e+01
0.260000,unshaped,1.291544e+01
0.270000,unshaped,1.291544e+01
0.280000,unshaped,1.291544e+01
0.290000,unshaped,1.291544e+01
0.300000,unshaped,1.291544e+01
0.310000,unshaped,1.291544e+01
0.320000,unshaped,1.291544e+01
0.330000,unshaped,1.291544e+01
0.340000,unshaped,1.291544e+01
0.350000,unshaped,1.291544e+01
0.360000,unshaped,1.291544e+01
0.370000,unshaped,1.291544e+01
0.380000,unshaped,1.291544e+01
0.390000,unshaped,1.291544e+01
0.400000,unshaped,1.291544e+01
0.410000,unshaped,1.291544e+01
0.420000,unshaped,1.291544e+01
0.430000,unshaped,1.291544e+01
0.440000,unshaped,1.291544e+01
0.450000,unshaped,1.291544e+01
0.460000,unshaped,1.291544e+01
0.470000,unshaped,1.291544e+01
0.480000,unshaped,1.291544e+01
0.490000,unshaped,1.291544e+01
0.500000,unshaped,1.291544e+01
0.510000,unshaped,1.291544e+01
0.520000,unshaped,1.291544e+01
0.530000,unshaped,1.291544e+01
0.540000,unshaped,1.291544e+01
0.550000,unshaped,1.291544e+01
0.560000,unshaped,1.291544e+01
0.570000,unshaped,1.291544e+01
0.580000,unshaped,1.291544e+01
0.590000,unshaped,1.291544e+01
0.600000,unshaped,1.291544e+01
0.610000,unshaped,1.291544e+01
0.620000,unshaped,1.291544e+01
0.630000,unshaped,1.291544e+01
0.640000,unshaped,1.291544e+01
0.650000,unshaped,1.291544e+01
0.660000,unshaped,1.291544e+01
0.670000,unshaped,1.291544e+01
0.680000,unshaped,1.291544e+01
0.690000,unshaped,1.291544e+01
0.700000,unshaped,1.291544e+01
0.710000,unshaped,1.291544e+01
0.720000,unshaped,1.291544e+01
0.730000,unshaped,1.291544e+01
0.740000,unshaped,1.291544e+01
0.750000,unshaped,1.291544e+01
0.760000,unshaped,1.291544e+01
0.770000,unshaped,1.291544e+01
0.780000,unshaped,1.291544e+01
0.790000,unshaped,1.291544e+01
0.800000,unshaped,1.291544e+01
0.810000,unshaped,1.291544e+01
0.820000,unshaped,1.291544e+01
0.830000,unshaped,1.291544e+01
0.840000,unshaped,1.291544e+01
0.850000,unshaped,1.291544e+01
0.860000,unshaped,1.291544e+01
0.870000,unshaped,1.291544e+01
0.880000,unshaped,1.291544e+01
0.890000,unshaped,1.291544e+01
0.900000,unshaped,1.291544e+01
0.910000,unshaped,1.291544e+01
0.920000,unshaped,1.291544e+01
0.930000,unshaped,1.291544e+01
0.940000,unshaped,1.291544e+01
0.950000,unshaped,1.291544e+01
0.960000,unshaped,1.291544e+01
0.970000,unshaped,1.291544e+01
0.980000,unshaped,1.291544e+01
0.990000,unshaped,1.291544e+01
1.000000,unshaped,1.291544e+01
1.010000,unshaped,1.291544e+01
1.020000,unshaped,1.291544e+01
1.030000,unshaped,1.291544e+01
1.040000,unshaped,1.291544e+01
1.050000,unshaped,1.291544e+01
1.060000,unshaped,1.291544e+01
1.070000,unshaped,1.291544e+01
1.080000,unshaped,1.291544e+01
1.090000,unshaped,1.291544e+01
1.100000,unshaped,1.291544e+01
1.110000,unshaped,1.291544e+01
1.120000,unshaped,1.291544e+01
1.130000,unshaped,1.291544e+01
1.140000,unshaped,1.291544e+01
1.150000,unshaped,1.291544e+01
1.160000,unshaped,1.291544e+01
1.170000,unshaped,1.291544e+01
1.180000,unshaped,1.291544e+01
1.190000,unshaped,1.291544e+01
1.200000,unshaped,1.291544e+01
1.210000,unshaped,1.291544e+01
1.220000,unshaped,1.291544e+01
1.230000,unshaped,1.291544e+01
1.240000,unshaped,1.291544e+01
1.250000,unshaped,1.291544e+01
1.260000,unshaped,1.291544e+01
1.270000,unshaped,1.291544e+01
1.280000,unshaped,1.291544e+01
1.290000,unshaped,1.291544e+01
1.300000,unshaped,1.291544e+01
1.310000,unshaped,1.291544e+01
1.320000,unshaped,1.291544e+01
1.330000,unshaped,1.291544e+01
1.340000,unshaped,1.291544e+01
1.350000,unshaped,1.291544e+01
1.360000,unshaped,1.291544e+01
1.370000,unshaped,1.291544e+01
1.380000,unshaped,1.291544e+01
1.390000,unshaped,1.291544e+01
1.400000,unshaped,1.291544e+01
1.410000,unshaped,1.291544e+01
1.420000,unshaped,1.291544e+01
1.430000,unshaped,1.291544e+01
1.440000,unshaped,1.291544e+01
1.450000,unshaped,1.291544e+01
1.460000,unshaped,1.291544e+01
1.470000,unshaped,1.291544e+01
1.480000,unshaped,1.291544e+01
1.490000,unshaped,1.291544e+01
1.500000,unshaped,1.291544e+01
1.510000,unshaped,1.291544e+01
1.520000,unshaped,1.291544e+01
1.530000,unshaped,1.291544e+01
1.540000,unshaped,1.291544e+01
1.550000,unshaped,1.291544e+01
1.560000,unshaped,1.291544e+01
1.570000,unshaped,1.291544e+01
1.580000,unshaped,1.291544e+01
1.590000,unshaped,1.291544e+01
1.600000,unshaped,1.291544e+01
1.610000,unshaped,1.291544e+01
1.620000,unshaped,1.291544e+01
1.630000,unshaped,1.291544e+01
1.640000,unshaped,1.291544e+01
1.650000,unshaped,1.291544e+01
1.660000,unshaped,1.291544e+01
1.670000,unshaped,1.291544e+01
1.680000,unshaped,1.291544e+01
1.690000,unshaped,1.291544e+01
1.700000,unshaped,1.291544e+01
1.710000,unshaped,1.291544e+01
1.720000,unshaped,1.291544e+01
1.730000,unshaped,1.291544e+01
1.740000,unshaped,1.291544e+01
1.750000,unshaped,1.291544e+01
1.760000,unshaped,1.291544e+01
1.770000,unshaped,1.291544e+01
1.780000,unshaped,1.291544e+01
1.790000,unshaped,1.291544e+01
1.800000,unshaped,1.291544e+01
1.810000,unshaped,1.291544e+01
1.820000,unshaped,1.291544e+01
1.830000,unshaped,1.291544e+01
1.840000,unshaped,1.291544e+01
1.850000,unshaped,1.291544e+01
1.860000,unshaped,1.291544e+01
1.870000,unshaped,1.291544e+01
1.880000,unshaped,1.291544e+01
1.890000,unshaped,1.291544e+01
1.900000,unshaped,1.291544e+01
