factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
disturbance_frequency_hz,0,1.94435,unshaped_standard_pd,0.552973,0.0191191,15.5947,7.47211,0.000554868,0.0368724,-58.8789,-83.5748
disturbance_frequency_hz,0,1.94435,unshaped_filtered_pd,0.497909,0.0170221,16.0008,7.47808,0.000535441,0.029217,-59.0373,-86.1572
disturbance_frequency_hz,0,1.94435,fourth_standard_pd,0.0520104,0.00135381,16.7046,8.11931,0.000472723,0.00152193,-59.881,-109.024
disturbance_frequency_hz,0,1.94435,fourth_filtered_pd,0.0496233,0.00107699,16.6902,8.11992,0.000471854,0.00130519,-59.932,-110.694
disturbance_frequency_hz,1,11.3523,unshaped_standard_pd,0.552974,0.0191192,15.5921,7.47213,9.22093e-06,0.00219623,-101.517,-119.295
disturbance_frequency_hz,1,11.3523,unshaped_filtered_pd,0.497918,0.0170222,16.0073,7.4781,7.09681e-06,0.00147398,-104.199,-118.981
disturbance_frequency_hz,1,11.3523,fourth_standard_pd,0.0520112,0.00135375,16.7068,8.11931,5.6888e-06,0.000174513,-105.39,-137.287
disturbance_frequency_hz,1,11.3523,fourth_filtered_pd,0.0496306,0.00107673,16.6949,8.11992,5.69253e-06,0.000122819,-105.402,-141.206
disturbance_frequency_hz,2,27.4192,unshaped_standard_pd,0.552974,0.0191192,15.5872,7.47213,5.33481e-07,0.000346967,-129.163,-132.854
disturbance_frequency_hz,2,27.4192,unshaped_filtered_pd,0.497918,0.0170222,16.0024,7.4781,5.07958e-07,0.000287904,-129.925,-144.108
disturbance_frequency_hz,2,27.4192,fourth_standard_pd,0.0520114,0.00135375,16.7104,8.11931,5.00766e-07,3.04731e-05,-129.216,-156.691
disturbance_frequency_hz,2,27.4192,fourth_filtered_pd,0.0496306,0.00107672,16.6952,8.11992,5.04077e-07,2.06378e-05,-129.121,-155.246
disturbance_frequency_hz,3,8.81326,unshaped_standard_pd,0.552974,0.0191192,15.592,7.47212,1.82229e-05,0.0031895,-95.6847,-116.473
disturbance_frequency_hz,3,8.81326,unshaped_filtered_pd,0.497918,0.0170222,16.0071,7.4781,1.4186e-05,0.00237597,-98.1777,-116.644
disturbance_frequency_hz,3,8.81326,fourth_standard_pd,0.0520109,0.00135375,16.7115,8.11931,1.05203e-05,0.000250354,-98.7641,-135.208
disturbance_frequency_hz,3,8.81326,fourth_filtered_pd,0.0496304,0.00107671,16.6975,8.11992,1.05215e-05,0.000208928,-98.8818,-140.92
disturbance_frequency_hz,4,39.7812,unshaped_standard_pd,0.552974,0.0191192,15.59,7.47212,1.2556e-07,0.000177201,-141.285,-138.774
