factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
inertia_scale,0,1.16437,unshaped_standard_pd,0.557712,0.0193079,16.9481,8.26749
inertia_scale,0,1.16437,unshaped_filtered_pd,0.498597,0.0170397,17.4944,8.27329
inertia_scale,0,1.16437,fourth_standard_pd,0.0513486,0.00128004,18.4658,8.9836
inertia_scale,0,1.16437,fourth_filtered_pd,0.0492603,0.00104655,18.4487,8.98422
inertia_scale,1,0.963327,unshaped_standard_pd,0.551028,0.0190461,15.2812,7.2947
inertia_scale,1,0.963327,unshaped_filtered_pd,0.49731,0.0170022,15.6563,7.3007
inertia_scale,1,0.963327,fourth_standard_pd,0.0521712,0.0013722,16.3083,7.92647
inertia_scale,1,0.963327,fourth_filtered_pd,0.0497183,0.00108423,16.2942,7.92708
inertia_scale,2,1.21516,unshaped_standard_pd,0.558078,0.0193274,17.3686,8.51325
inertia_scale,2,1.21516,unshaped_filtered_pd,0.498265,0.0170253,17.9483,8.51899
inertia_scale,2,1.21516,fourth_standard_pd,0.0511623,0.00125988,19.0109,9.25063
inertia_scale,2,1.21516,fourth_filtered_pd,0.0491535,0.00103821,18.9931,9.25126
inertia_scale,3,1.11842,unshaped_standard_pd,0.556949,0.0192757,16.5685,8.04512
inertia_scale,3,1.11842,unshaped_filtered_pd,0.498724,0.0170454,17.0791,8.05097
inertia_scale,3,1.11842,fourth_standard_pd,0.0515248,0.00129928,17.9726,8.74197
inertia_scale,3,1.11842,fourth_filtered_pd,0.0493609,0.00105449,17.9562,8.74259
inertia_scale,4,0.756506,unshaped_standard_pd,0.532287,0.0183667,13.5472,6.29425
inertia_scale,4,0.756506,unshaped_filtered_pd,0.489449,0.0167413,13.6699,6.30041
inertia_scale,4,0.756506,fourth_standard_pd,0.0531297,0.00149319,14.0888,6.83898
inertia_scale,4,0.756506,fourth_filtered_pd,0.0502378,0.00113327,14.0777,6.83958
inertia_scale,5,1.28537,unshaped_standard_pd,0.557851,0.0193301,17.949,8.85306
inertia_scale,5,1.28537,unshaped_filtered_pd,0.497433,0.0169933,18.5731,8.85872
inertia_scale,5,1.28537,fourth_standard_pd,0.0509192,0.00123377,19.7646,9.61983
inertia_scale,5,1.28537,fourth_filtered_pd,0.0490167,0.00102759,19.7457,9.62046
inertia_scale,6,1.15668,unshaped_standard_pd,0.557626,0.0193035,16.8848,8.23027
inertia_scale,6,1.15668,unshaped_filtered_pd,0.498628,0.0170411,17.4253,8.23608
inertia_scale,6,1.15668,fourth_standard_pd,0.0513777,0.0012832,18.3832,8.94316
inertia_scale,6,1.15668,fourth_filtered_pd,0.049277,0.00104785,18.3663,8.94379
inertia_scale,7,1.17164,unshaped_standard_pd,0.557787,0.0193116,17.0086,8.30264
inertia_scale,7,1.17164,unshaped_filtered_pd,0.498563,0.0170381,17.5595,8.30844
inertia_scale,7,1.17164,fourth_standard_pd,0.0513213,0.00127707,18.5437,9.0218
inertia_scale,7,1.17164,fourth_filtered_pd,0.0492447,0.00104532,18.5266,9.02242
inertia_scale,8,0.776868,unshaped_standard_pd,0.534825,0.018456,13.7194,6.39273
inertia_scale,8,0.776868,unshaped_filtered_pd,0.490588,0.0167799,13.8708,6.39888
inertia_scale,8,0.776868,fourth_standard_pd,0.0530331,0.00147985,14.3074,6.94605
inertia_scale,8,0.776868,fourth_filtered_pd,0.0501841,0.00112781,14.296,6.94665
inertia_scale,9,0.970232,unshaped_standard_pd,0.551416,0.0190608,15.3389,7.3281
inertia_scale,9,0.970232,unshaped_filtered_pd,0.497447,0.0170065,15.721,7.3341
inertia_scale,9,0.970232,fourth_standard_pd,0.0521408,0.00136867,16.3824,7.96278
inertia_scale,9,0.970232,fourth_filtered_pd,0.0497014,0.00108278,16.3682,7.96339
inertia_scale,10,0.922479,unshaped_standard_pd,0.548454,0.0189494,14.9408,7.09708
inertia_scale,10,0.922479,unshaped_filtered_pd,0.496343,0.0169716,15.2743,7.10312
inertia_scale,10,0.922479,fourth_standard_pd,0.0523539,0.00139373,15.87,7.71169
inertia_scale,10,0.922479,fourth_filtered_pd,0.0498177,0.00109296,15.8564,7.7123
inertia_scale,11,1.25606,unshaped_standard_pd,0.558048,0.0193321,17.7071,8.71119
inertia_scale,11,1.25606,unshaped_filtered_pd,0.497835,0.0170082,18.3135,8.71688
inertia_scale,11,1.25606,fourth_standard_pd,0.0510185,0.00124443,19.4499,9.46569
inertia_scale,11,1.25606,fourth_filtered_pd,0.0490727,0.00103192,19.4315,9.46632
inertia_scale,12,1.08632,unshaped_standard_pd,0.556192,0.0192443,16.3028,7.88978
inertia_scale,12,1.08632,unshaped_filtered_pd,0.498676,0.0170448,16.7886,7.89567
inertia_scale,12,1.08632,fourth_standard_pd,0.0516523,0.00131332,17.6281,8.57318
inertia_scale,12,1.08632,fourth_filtered_pd,0.0494323,0.00106025,17.6122,8.5738
inertia_scale,13,1.19366,unshaped_standard_pd,0.557955,0.019321,17.1912,8.4092
inertia_scale,13,1.19366,unshaped_filtered_pd,0.498429,0.0170323,17.7561,8.41496
inertia_scale,13,1.19366,fourth_standard_pd,0.0512398,0.00126826,18.7801,9.13757
inertia_scale,13,1.19366,fourth_filtered_pd,0.0491978,0.00104166,18.7626,9.1382
inertia_scale,14,0.966049,unshaped_standard_pd,0.551182,0.0190519,15.304,7.30786
inertia_scale,14,0.966049,unshaped_filtered_pd,0.497366,0.0170039,15.6818,7.31387
inertia_scale,14,0.966049,fourth_standard_pd,0.0521591,0.0013708,16.3375,7.94078
inertia_scale,14,0.966049,fourth_filtered_pd,0.0497116,0.00108365,16.3233,7.94139
inertia_scale,15,0.836343,unshaped_standard_pd,0.541281,0.0186874,14.2194,6.68041
inertia_scale,15,0.836343,unshaped_filtered_pd,0.493427,0.0168752,14.4522,6.68651
inertia_scale,15,0.836343,fourth_standard_pd,0.0527522,0.0014428,14.9457,7.25878
inertia_scale,15,0.836343,fourth_filtered_pd,0.0500213,0.00111237,14.9334,7.25938
inertia_scale,16,1.03275,unshaped_standard_pd,0.554386,0.0191741,15.8586,7.63058
inertia_scale,16,1.03275,unshaped_filtered_pd,0.498304,0.0170347,16.2982,7.63653
inertia_scale,16,1.03275,fourth_standard_pd,0.0518725,0.00133793,17.0532,8.29151
inertia_scale,16,1.03275,fourth_filtered_pd,0.0495543,0.00107029,17.0381,8.29213
inertia_scale,17,0.73829,unshaped_standard_pd,0.529882,0.0182821,13.3923,6.20615
inertia_scale,17,0.73829,unshaped_filtered_pd,0.488349,0.0167041,13.4875,6.21232
inertia_scale,17,0.73829,fourth_standard_pd,0.0532151,0.00150542,13.8933,6.7432
inertia_scale,17,0.73829,fourth_filtered_pd,0.0502862,0.00113829,13.8824,6.7438
inertia_scale,18,1.19658,unshaped_standard_pd,0.557973,0.019322,17.2154,8.42334
inertia_scale,18,1.19658,unshaped_filtered_pd,0.498408,0.0170315,17.7821,8.4291
inertia_scale,18,1.19658,fourth_standard_pd,0.0512296,0.00126713,18.8114,9.15294
inertia_scale,18,1.19658,fourth_filtered_pd,0.0491923,0.00104121,18.7939,9.15356
inertia_scale,19,1.079,unshaped_standard_pd,0.555993,0.0192361,16.2423,7.85436
inertia_scale,19,1.079,unshaped_filtered_pd,0.498645,0.0170442,16.7222,7.86025
inertia_scale,19,1.079,fourth_standard_pd,0.0516819,0.0013166,17.5495,8.53469
