factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_damping_scale,0,0.881156,unshaped_standard_pd,0.567149,0.0196258,15.636,7.47246
modal_damping_scale,0,0.881156,unshaped_filtered_pd,0.503776,0.0172479,16.0253,7.47862
modal_damping_scale,0,0.881156,fourth_standard_pd,0.0521745,0.00134835,16.7009,8.11932
modal_damping_scale,0,0.881156,fourth_filtered_pd,0.0496294,0.00106427,16.6857,8.11993
modal_damping_scale,1,1.25107,unshaped_standard_pd,0.526861,0.018182,15.4868,7.47149
modal_damping_scale,1,1.25107,unshaped_filtered_pd,0.486151,0.0165744,15.9373,7.47708
modal_damping_scale,1,1.25107,fourth_standard_pd,0.0516897,0.00136541,16.7034,8.11927
modal_damping_scale,1,1.25107,fourth_filtered_pd,0.049633,0.00110203,16.69,8.11988
modal_damping_scale,2,1.16878,unshaped_standard_pd,0.534893,0.0184713,15.5184,7.47169
modal_damping_scale,2,1.16878,unshaped_filtered_pd,0.489934,0.0167173,15.9571,7.4774
modal_damping_scale,2,1.16878,fourth_standard_pd,0.0517919,0.00136158,16.7029,8.11928
modal_damping_scale,2,1.16878,fourth_filtered_pd,0.0496341,0.00109402,16.6891,8.11989
modal_damping_scale,3,0.766353,unshaped_standard_pd,0.582236,0.0201613,15.6866,7.47281
modal_damping_scale,3,0.766353,unshaped_filtered_pd,0.509672,0.0174757,16.0519,7.47916
modal_damping_scale,3,0.766353,fourth_standard_pd,0.0523388,0.00134308,16.7,8.11934
modal_damping_scale,3,0.766353,fourth_filtered_pd,0.0496283,0.00105199,16.6843,8.11995
modal_damping_scale,4,1.29822,unshaped_standard_pd,0.522466,0.0180233,15.469,7.47138
modal_damping_scale,4,1.29822,unshaped_filtered_pd,0.484024,0.0164942,15.9259,7.4769
modal_damping_scale,4,1.29822,fourth_standard_pd,0.0516324,0.0013676,16.7037,8.11926
modal_damping_scale,4,1.29822,fourth_filtered_pd,0.0496319,0.00110653,16.6905,8.11987
modal_damping_scale,5,1.22752,unshaped_standard_pd,0.529109,0.0182631,15.4958,7.47154
modal_damping_scale,5,1.22752,unshaped_filtered_pd,0.487224,0.0166149,15.943,7.47717
modal_damping_scale,5,1.22752,fourth_standard_pd,0.0517187,0.00136431,16.7033,8.11927
modal_damping_scale,5,1.22752,fourth_filtered_pd,0.0496335,0.00109976,16.6898,8.11988
modal_damping_scale,6,0.870345,unshaped_standard_pd,0.568508,0.0196742,15.6407,7.47249
modal_damping_scale,6,0.870345,unshaped_filtered_pd,0.504322,0.0172689,16.0279,7.47867
modal_damping_scale,6,0.870345,fourth_standard_pd,0.0521898,0.00134786,16.7008,8.11932
modal_damping_scale,6,0.870345,fourth_filtered_pd,0.0496292,0.00106312,16.6856,8.11993
modal_damping_scale,7,1.20214,unshaped_standard_pd,0.531578,0.018352,15.5055,7.4716
modal_damping_scale,7,1.20214,unshaped_filtered_pd,0.488389,0.0166589,15.9491,7.47727
modal_damping_scale,7,1.20214,fourth_standard_pd,0.0517502,0.00136313,16.7031,8.11927
modal_damping_scale,7,1.20214,fourth_filtered_pd,0.0496338,0.00109729,16.6895,8.11989
modal_damping_scale,8,0.763852,unshaped_standard_pd,0.582581,0.0201736,15.6877,7.47282
modal_damping_scale,8,0.763852,unshaped_filtered_pd,0.509803,0.0174808,16.0525,7.47917
