factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_frequency_scale,0,1.16644,unshaped_standard_pd,0.38485,0.0131972,15.5879,7.47099
modal_frequency_scale,0,1.16644,unshaped_filtered_pd,0.355325,0.0120857,16.0699,7.47614
modal_frequency_scale,0,1.16644,fourth_standard_pd,0.0551205,0.00181716,16.6786,8.1151
modal_frequency_scale,0,1.16644,fourth_filtered_pd,0.0533513,0.00169331,16.6758,8.11543
modal_frequency_scale,1,1.2831,unshaped_standard_pd,0.272298,0.00919363,15.5298,7.47161
modal_frequency_scale,1,1.2831,unshaped_filtered_pd,0.280766,0.00927805,16.1542,7.47673
modal_frequency_scale,1,1.2831,fourth_standard_pd,0.0456299,0.00153658,16.7028,8.11298
modal_frequency_scale,1,1.2831,fourth_filtered_pd,0.0429125,0.00141086,16.7103,8.11329
modal_frequency_scale,2,1.00044,unshaped_standard_pd,0.553862,0.0191473,15.5871,7.47209
modal_frequency_scale,2,1.00044,unshaped_filtered_pd,0.498505,0.0170478,15.9979,7.47805
modal_frequency_scale,2,1.00044,fourth_standard_pd,0.0520327,0.00135463,16.7014,8.11929
modal_frequency_scale,2,1.00044,fourth_filtered_pd,0.049618,0.00107702,16.6866,8.1199
modal_frequency_scale,3,0.786339,unshaped_standard_pd,0.813735,0.0255007,15.4152,7.48098
modal_frequency_scale,3,0.786339,unshaped_filtered_pd,0.939282,0.0290298,16.1072,7.49001
modal_frequency_scale,3,0.786339,fourth_standard_pd,0.169637,0.00525951,17.0449,8.12797
modal_frequency_scale,3,0.786339,fourth_filtered_pd,0.216485,0.00657806,17.1696,8.13004
modal_frequency_scale,4,0.708362,unshaped_standard_pd,1.71351,0.0584526,15.6981,7.472
modal_frequency_scale,4,0.708362,unshaped_filtered_pd,1.59686,0.0548089,15.986,7.4778
modal_frequency_scale,4,0.708362,fourth_standard_pd,0.560995,0.0199867,17.2865,8.1305
modal_frequency_scale,4,0.708362,fourth_filtered_pd,0.565244,0.0201344,17.403,8.13248
modal_frequency_scale,5,0.837794,unshaped_standard_pd,0.846381,0.029545,15.5923,7.4735
modal_frequency_scale,5,0.837794,unshaped_filtered_pd,0.736921,0.0254636,15.9086,7.48024
modal_frequency_scale,5,0.837794,fourth_standard_pd,0.113504,0.00378315,16.9374,8.1255
modal_frequency_scale,5,0.837794,fourth_filtered_pd,0.116051,0.00346855,17.0121,8.12705
modal_frequency_scale,6,0.779093,unshaped_standard_pd,0.881274,0.0273383,15.4185,7.48136
modal_frequency_scale,6,0.779093,unshaped_filtered_pd,1.02862,0.0320636,16.1515,7.49042
