factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
sensor_noise_frequency_hz,0,9.84932,unshaped_standard_pd,0.552962,0.0191183,20.5927,8.29586,7.80654e-05,0.00560696,-74.8384,-99.0957
sensor_noise_frequency_hz,0,9.84932,unshaped_filtered_pd,0.497912,0.0170229,20.3359,8.08591,6.58091e-05,0.00473622,-76.2557,-99.5725
sensor_noise_frequency_hz,0,9.84932,fourth_standard_pd,0.0519406,0.00136286,21.7857,8.88107,6.79823e-05,0.00447872,-74.5531,-99.7078
sensor_noise_frequency_hz,0,9.84932,fourth_filtered_pd,0.049531,0.00108521,21.034,8.68282,5.86132e-05,0.00385494,-76.6486,-101.046
sensor_noise_frequency_hz,1,0.717773,unshaped_standard_pd,0.757217,0.0276095,19.6874,8.24833,0.0100209,0.521156,-28.493,-55.4213
sensor_noise_frequency_hz,1,0.717773,unshaped_filtered_pd,0.871712,0.0326634,21.7156,8.94141,0.0121214,0.684556,-26.7546,-52.6993
sensor_noise_frequency_hz,1,0.717773,fourth_standard_pd,0.482119,0.0194977,21.5122,8.80432,0.00940839,0.457687,-29.2202,-56.2476
sensor_noise_frequency_hz,1,0.717773,fourth_filtered_pd,0.676556,0.0274814,23.5561,9.43716,0.0112737,0.643276,-27.5042,-53.299
sensor_noise_frequency_hz,2,25.2427,unshaped_standard_pd,0.552953,0.0191187,20.1764,8.29506,1.11258e-05,0.000839813,-91.6543,-117.098
sensor_noise_frequency_hz,2,25.2427,unshaped_filtered_pd,0.497914,0.0170222,17.7999,7.62393,4.58308e-06,0.000478863,-99.2647,-125.142
sensor_noise_frequency_hz,2,25.2427,fourth_standard_pd,0.0519868,0.00135422,21.7622,8.88183,1.11669e-05,0.00066965,-89.8888,-117.082
sensor_noise_frequency_hz,2,25.2427,fourth_filtered_pd,0.0496021,0.0010772,18.7158,8.25453,4.73993e-06,0.000284571,-97.6077,-124.737
sensor_noise_frequency_hz,3,4.00618,unshaped_standard_pd,0.552006,0.0191417,20.6504,8.29212,0.000363971,0.0264175,-57.8128,-83.2406
sensor_noise_frequency_hz,3,4.00618,unshaped_filtered_pd,0.497108,0.0170776,22.5528,8.94428,0.000477491,0.0340899,-55.2696,-80.5434
sensor_noise_frequency_hz,3,4.00618,fourth_standard_pd,0.0566278,0.00170342,21.7688,8.87558,0.000347588,0.0229269,-57.6087,-83.3575
sensor_noise_frequency_hz,3,4.00618,fourth_filtered_pd,0.0597365,0.00177657,23.5689,9.48176,0.000461444,0.0312467,-55.5663,-80.6753
sensor_noise_frequency_hz,4,0.218847,unshaped_standard_pd,1.09239,0.0898124,17.8461,7.82112,0.280776,0.719319,0.946824,-53.3982
sensor_noise_frequency_hz,4,0.218847,unshaped_filtered_pd,1.09318,0.0934736,18.1486,7.85842,0.280991,0.731878,0.955801,-53.209
sensor_noise_frequency_hz,4,0.218847,fourth_standard_pd,0.901022,0.0881969,20.4595,8.63209,0.269676,0.736881,0.112986,-52.595
sensor_noise_frequency_hz,4,0.218847,fourth_filtered_pd,0.942921,0.0922554,20.6168,8.68273,0.270273,0.760638,0.132013,-52.341
sensor_noise_frequency_hz,5,0.244283,unshaped_standard_pd,1.28444,0.080689,19.6271,8.0998,0.301281,0.947031,-5.29376,-50.9147
sensor_noise_frequency_hz,5,0.244283,unshaped_filtered_pd,1.33732,0.0866566,19.96,8.21319,0.301859,1.02737,-5.24042,-50.1192
sensor_noise_frequency_hz,5,0.244283,fourth_standard_pd,1.07698,0.0781509,20.5844,8.57097,0.288516,0.856411,-4.85657,-51.693
sensor_noise_frequency_hz,5,0.244283,fourth_filtered_pd,1.16161,0.0846368,20.9637,8.65024,0.289012,0.923389,-4.87909,-51.0054
sensor_noise_frequency_hz,6,7.4241,unshaped_standard_pd,0.552806,0.0191189,20.4446,8.28927,0.000101215,0.00759121,-69.2233,-94.4645
sensor_noise_frequency_hz,6,7.4241,unshaped_filtered_pd,0.497853,0.017025,21.2151,8.34545,0.000104348,0.00768196,-69.0841,-94.4026
sensor_noise_frequency_hz,6,7.4241,fourth_standard_pd,0.0520723,0.00138272,21.7711,8.8802,9.95958e-05,0.00655495,-68.9503,-94.5549
sensor_noise_frequency_hz,6,7.4241,fourth_filtered_pd,0.0497616,0.00111463,21.9265,8.92536,0.000102625,0.00675818,-69.2199,-94.2815
sensor_noise_frequency_hz,7,0.292934,unshaped_standard_pd,1.57256,0.0719678,17.6944,7.97096,0.138797,1.55376,-8.9753,-46.8901
sensor_noise_frequency_hz,7,0.292934,unshaped_filtered_pd,1.79336,0.0829518,18.629,8.17257,0.13956,1.75242,-9.0307,-45.7901
sensor_noise_frequency_hz,7,0.292934,fourth_standard_pd,1.51721,0.0704056,21.0959,8.75557,0.152146,1.58305,-8.01644,-46.0535
sensor_noise_frequency_hz,7,0.292934,fourth_filtered_pd,1.76329,0.0822428,22.0123,8.96647,0.153221,1.80038,-8.00792,-44.9247
sensor_noise_frequency_hz,8,2.33974,unshaped_standard_pd,0.546932,0.0195047,20.5636,8.27367,0.00112666,0.0812192,-47.0116,-72.4064
sensor_noise_frequency_hz,8,2.33974,unshaped_filtered_pd,0.500149,0.0180125,23.2309,9.20757,0.00169007,0.1229,-43.8046,-68.7317
sensor_noise_frequency_hz,8,2.33974,fourth_standard_pd,0.1125,0.00413756,21.6776,8.85547,0.00113769,0.0779825,-46.9192,-72.5244
sensor_noise_frequency_hz,8,2.33974,fourth_filtered_pd,0.16255,0.00601969,24.2345,9.72564,0.00164748,0.117839,-44.0614,-68.9386
sensor_noise_frequency_hz,9,47.5083,unshaped_standard_pd,0.552973,0.0191191,20.644,8.29552,6.36201e-07,0.000158078,-116.502,-136.734
sensor_noise_frequency_hz,9,47.5083,unshaped_filtered_pd,0.497917,0.0170222,17.4155,7.55564,1.89815e-07,0.000110572,-126.901,-140.377
sensor_noise_frequency_hz,9,47.5083,fourth_standard_pd,0.0520113,0.00135378,21.7825,8.88194,6.52034e-07,4.16801e-05,-114.458,-142.075
sensor_noise_frequency_hz,9,47.5083,fourth_filtered_pd,0.0496307,0.00107676,18.1878,8.19109,1.9712e-07,1.26905e-05,-125.234,-152.47
sensor_noise_frequency_hz,10,0.102522,unshaped_standard_pd,0.621404,0.168413,16.0557,7.65731,3.27305,0.0651713,23.1419,-79.5447
sensor_noise_frequency_hz,10,0.102522,unshaped_filtered_pd,0.575156,0.177947,16.3799,7.66264,3.27621,0.0738314,23.1524,-77.9106
sensor_noise_frequency_hz,10,0.102522,fourth_standard_pd,0.186212,0.167104,18.2677,8.25162,3.65291,0.210104,24.1587,-65.5313
sensor_noise_frequency_hz,10,0.102522,fourth_filtered_pd,0.191591,0.176929,18.2793,8.25442,3.6561,0.20803,24.1678,-65.6433
sensor_noise_frequency_hz,11,0.110853,unshaped_standard_pd,0.658065,0.164502,17.198,7.70897,3.26,0.0541012,23.0979,-79.2159
sensor_noise_frequency_hz,11,0.110853,unshaped_filtered_pd,0.61822,0.170384,17.2162,7.72986,3.25815,0.0531558,23.0906,-78.9494
sensor_noise_frequency_hz,11,0.110853,fourth_standard_pd,0.234569,0.163543,18.2948,8.33765,3.6415,0.216252,24.1223,-65.0777
sensor_noise_frequency_hz,11,0.110853,fourth_filtered_pd,0.240507,0.169456,18.4299,8.35102,3.63977,0.219271,24.1165,-64.9992
sensor_noise_frequency_hz,12,47.8967,unshaped_standard_pd,0.552973,0.0191191,20.6204,8.29405,5.3316e-07,0.000157358,-118.051,-140.517
sensor_noise_frequency_hz,12,47.8967,unshaped_filtered_pd,0.497917,0.0170222,17.2126,7.55498,1.59288e-07,9.68358e-05,-128.503,-147.532
sensor_noise_frequency_hz,12,47.8967,fourth_standard_pd,0.0520116,0.00135378,21.772,8.88211,5.51406e-07,3.60962e-05,-115.961,-143.036
sensor_noise_frequency_hz,12,47.8967,fourth_filtered_pd,0.0496308,0.00107674,18.1922,8.19098,1.66085e-07,1.08827e-05,-126.781,-153.863
sensor_noise_frequency_hz,13,3.78375,unshaped_standard_pd,0.551853,0.0191543,20.4466,8.29226,0.000401042,0.0281848,-58.161,-82.8707
sensor_noise_frequency_hz,13,3.78375,unshaped_filtered_pd,0.497848,0.0171055,23.0251,8.98585,0.000540122,0.0375163,-55.4447,-79.8817
sensor_noise_frequency_hz,13,3.78375,fourth_standard_pd,0.0585944,0.00179047,21.7484,8.87472,0.000389843,0.0258189,-58.1988,-82.8477
sensor_noise_frequency_hz,13,3.78375,fourth_filtered_pd,0.0634851,0.00194831,23.6919,9.52345,0.000526386,0.0358086,-55.8489,-79.9718
sensor_noise_frequency_hz,14,0.220052,unshaped_standard_pd,1.08555,0.088909,17.6484,7.81065,0.282102,0.70753,-4.40482,-52.3683
sensor_noise_frequency_hz,14,0.220052,unshaped_filtered_pd,1.08508,0.0926157,17.9016,7.84988,0.282531,0.715418,-4.4168,-52.2316
sensor_noise_frequency_hz,14,0.220052,fourth_standard_pd,0.90948,0.087288,20.4855,8.63719,0.271171,0.751759,-3.40694,-52.2971
sensor_noise_frequency_hz,14,0.220052,fourth_filtered_pd,0.950922,0.09143,20.648,8.68804,0.271921,0.775613,-3.40081,-51.9964
sensor_noise_frequency_hz,15,26.4114,unshaped_standard_pd,0.552958,0.0191187,20.6227,8.29466,9.97984e-06,0.000740759,-92.5974,-118.092
sensor_noise_frequency_hz,15,26.4114,unshaped_filtered_pd,0.497914,0.0170222,18.0207,7.61521,3.98349e-06,0.000436179,-100.45,-124.62
sensor_noise_frequency_hz,15,26.4114,fourth_standard_pd,0.0519892,0.00135423,21.7589,8.8819,1.00739e-05,0.000603979,-90.7943,-117.993
sensor_noise_frequency_hz,15,26.4114,fourth_filtered_pd,0.0496045,0.00107716,18.7044,8.24607,4.12263e-06,0.00024829,-98.848,-126.046
sensor_noise_frequency_hz,16,23.775,unshaped_standard_pd,0.55295,0.0191186,20.6037,8.29475,1.27666e-05,0.000940149,-90.4442,-115.756
sensor_noise_frequency_hz,16,23.775,unshaped_filtered_pd,0.497913,0.0170222,18.0827,7.6372,5.50194e-06,0.000584335,-97.6875,-120.858
sensor_noise_frequency_hz,16,23.775,fourth_standard_pd,0.0519856,0.00135429,21.7556,8.88178,1.27487e-05,0.000766047,-88.7954,-115.872
sensor_noise_frequency_hz,16,23.775,fourth_filtered_pd,0.0495989,0.00107726,18.8572,8.26696,5.68465e-06,0.000340751,-96.0669,-123.187
sensor_noise_frequency_hz,17,2.8002,unshaped_standard_pd,0.552434,0.0192501,20.3901,8.28331,0.000760447,0.0495233,-51.7911,-77.0322
sensor_noise_frequency_hz,17,2.8002,unshaped_filtered_pd,0.499554,0.0173692,23.399,9.1631,0.00109667,0.0740377,-48.603,-73.2329
sensor_noise_frequency_hz,17,2.8002,fourth_standard_pd,0.0788349,0.00274725,21.7328,8.8667,0.000749507,0.050238,-51.7674,-76.6493
sensor_noise_frequency_hz,17,2.8002,fourth_filtered_pd,0.10519,0.0037059,24.1372,9.68733,0.00106605,0.0744002,-48.9373,-73.2572
sensor_noise_frequency_hz,18,4.76648,unshaped_standard_pd,0.553179,0.0191266,20.5604,8.2812,0.000244337,0.0183271,-62.5915,-85.4987
sensor_noise_frequency_hz,18,4.76648,unshaped_filtered_pd,0.498186,0.0170442,22.4723,8.77663,0.000310619,0.0222561,-60.6194,-83.9829
sensor_noise_frequency_hz,18,4.76648,fourth_standard_pd,0.0537181,0.00152897,21.7673,8.87774,0.000241719,0.0159158,-62.2385,-86.8983
sensor_noise_frequency_hz,18,4.76648,fourth_filtered_pd,0.0532611,0.00141252,23.1875,9.33961,0.000304618,0.0204319,-60.8699,-84.6821
sensor_noise_frequency_hz,19,0.546165,unshaped_standard_pd,1.40784,0.0518619,20.0077,8.11687,0.0192995,1.26727,-22.7748,-48.4766
sensor_noise_frequency_hz,19,0.546165,unshaped_filtered_pd,1.70673,0.0632821,21.2033,8.49388,0.0216623,1.58723,-21.7442,-46.0421
sensor_noise_frequency_hz,19,0.546165,fourth_standard_pd,1.24957,0.0465069,21.2206,8.70253,0.0188917,1.27608,-22.7389,-47.0251
sensor_noise_frequency_hz,19,0.546165,fourth_filtered_pd,1.59282,0.0594591,22.5925,9.05503,0.021141,1.62013,-21.7302,-44.9375
sensor_noise_frequency_hz,20,0.136884,unshaped_standard_pd,0.73007,0.140968,16.1944,7.64572,3.33261,0.174116,10.6491,-62.5118
sensor_noise_frequency_hz,20,0.136884,unshaped_filtered_pd,0.673588,0.141301,16.3291,7.65764,3.33176,0.177863,10.6621,-62.3287
sensor_noise_frequency_hz,20,0.136884,fourth_standard_pd,0.407758,0.139413,18.9005,8.28535,3.71372,0.175277,10.4682,-63.8437
sensor_noise_frequency_hz,20,0.136884,fourth_filtered_pd,0.40869,0.14004,18.9554,8.29204,3.71287,0.176599,10.4816,-63.7213
sensor_noise_frequency_hz,21,4.02458,unshaped_standard_pd,0.552746,0.0191418,20.415,8.28172,0.000354048,0.0265258,-59.9328,-82.6743
sensor_noise_frequency_hz,21,4.02458,unshaped_filtered_pd,0.498299,0.0170808,22.8085,8.93105,0.00047443,0.0344255,-56.797,-79.9433
sensor_noise_frequency_hz,21,4.02458,fourth_standard_pd,0.0566307,0.00169712,21.738,8.87567,0.000341248,0.0225998,-59.8021,-83.8031
sensor_noise_frequency_hz,21,4.02458,fourth_filtered_pd,0.0592493,0.0017604,23.585,9.47799,0.000453967,0.0307948,-57.3627,-81.1409
sensor_noise_frequency_hz,22,0.624504,unshaped_standard_pd,0.92573,0.0341466,19.7176,8.12814,0.014113,0.827023,-26.6286,-50.7268
sensor_noise_frequency_hz,22,0.624504,unshaped_filtered_pd,1.11837,0.0421058,22.2454,8.65846,0.0161265,1.05448,-25.2362,-48.7027
sensor_noise_frequency_hz,22,0.624504,fourth_standard_pd,0.73708,0.0289508,21.5234,8.77821,0.0141236,0.749964,-26.3566,-51.7208
sensor_noise_frequency_hz,22,0.624504,fourth_filtered_pd,0.993905,0.0391467,23.3009,9.28734,0.016151,0.99851,-25.007,-49.2018
sensor_noise_frequency_hz,23,6.18149,unshaped_standard_pd,0.553032,0.0191215,20.4108,8.29467,0.00014419,0.0102552,-66.9118,-90.7576
sensor_noise_frequency_hz,23,6.18149,unshaped_filtered_pd,0.498193,0.0170293,21.7085,8.53007,0.000160488,0.0108586,-65.9277,-90.1206
sensor_noise_frequency_hz,23,6.18149,fourth_standard_pd,0.0524619,0.00141441,21.7738,8.87959,0.000141766,0.0093343,-66.6485,-91.5813
sensor_noise_frequency_hz,23,6.18149,fourth_filtered_pd,0.0502484,0.00117361,22.4502,9.09847,0.000159723,0.0106384,-66.14,-90.4589
sensor_noise_frequency_hz,24,18.0718,unshaped_standard_pd,0.552941,0.0191184,20.677,8.29508,2.32854e-05,0.00170953,-85.2105,-110.084
sensor_noise_frequency_hz,24,18.0718,unshaped_filtered_pd,0.497911,0.0170223,18.6193,7.722,1.24558e-05,0.00115701,-90.2123,-113.079
sensor_noise_frequency_hz,24,18.0718,fourth_standard_pd,0.0519595,0.001355,21.7769,8.88171,2.22947e-05,0.00136521,-84.0043,-110.567
sensor_noise_frequency_hz,24,18.0718,fourth_filtered_pd,0.049576,0.00107767,19.3962,8.34453,1.25377e-05,0.000748396,-89.1261,-116.092
sensor_noise_frequency_hz,25,0.111948,unshaped_standard_pd,0.660658,0.163876,17.3009,7.70604,3.26082,0.0565821,23.1011,-78.746
sensor_noise_frequency_hz,25,0.111948,unshaped_filtered_pd,0.619643,0.169727,17.3435,7.72834,3.25839,0.0540499,23.0919,-78.7402
sensor_noise_frequency_hz,25,0.111948,fourth_standard_pd,0.24116,0.162958,18.3281,8.34213,3.64228,0.216579,24.1248,-65.1038
sensor_noise_frequency_hz,25,0.111948,fourth_filtered_pd,0.245931,0.168841,18.3933,8.35711,3.64002,0.219778,24.1174,-65.0077
sensor_noise_frequency_hz,26,4.05335,unshaped_standard_pd,0.553319,0.0191435,20.5565,8.29401,0.000364129,0.0261679,-58.3366,-82.862
sensor_noise_frequency_hz,26,4.05335,unshaped_filtered_pd,0.498709,0.0170814,22.4536,8.93383,0.000474095,0.0333229,-55.5888,-79.9122
sensor_noise_frequency_hz,26,4.05335,fourth_standard_pd,0.056772,0.00168709,21.7437,8.87594,0.000338447,0.0223588,-58.4401,-83.5911
sensor_noise_frequency_hz,26,4.05335,fourth_filtered_pd,0.0591275,0.00173922,23.5707,9.47279,0.000448997,0.0303773,-56.3865,-80.9102
sensor_noise_frequency_hz,27,0.420939,unshaped_standard_pd,6.73936,0.222936,18.0258,7.64114,0.0388094,3.12964,-19.9124,-39.2638
sensor_noise_frequency_hz,27,0.420939,unshaped_filtered_pd,7.81092,0.258139,18.791,7.71986,0.0400282,3.21233,-19.596,-39.186
sensor_noise_frequency_hz,27,0.420939,fourth_standard_pd,6.76019,0.224012,19.87,8.26923,0.0394348,3.62468,-19.4302,-38.4366
sensor_noise_frequency_hz,27,0.420939,fourth_filtered_pd,7.86472,0.260274,20.7228,8.33213,0.0403271,3.70777,-19.0678,-38.2768
sensor_noise_frequency_hz,28,22.8349,unshaped_standard_pd,0.552949,0.0191186,20.5945,8.29311,1.39711e-05,0.00102466,-90.1646,-114.973
sensor_noise_frequency_hz,28,22.8349,unshaped_filtered_pd,0.497913,0.0170222,18.1657,7.64655,6.20636e-06,0.000640651,-97.2755,-121.106
sensor_noise_frequency_hz,28,22.8349,fourth_standard_pd,0.0519801,0.00135438,21.7825,8.88179,1.3902e-05,0.000836125,-88.5879,-115.335
sensor_noise_frequency_hz,28,22.8349,fourth_filtered_pd,0.0495951,0.00107731,18.9296,8.27616,6.41665e-06,0.000383035,-95.5949,-122.379
sensor_noise_frequency_hz,29,0.483763,unshaped_standard_pd,2.58617,0.0900687,19.4753,7.94166,0.0308732,2.24952,-18.2864,-42.1903
sensor_noise_frequency_hz,29,0.483763,unshaped_filtered_pd,2.98195,0.104071,20.1727,8.12254,0.0322735,2.40972,-17.7816,-41.4289
sensor_noise_frequency_hz,29,0.483763,fourth_standard_pd,2.46303,0.0860704,20.5205,8.56075,0.0307926,2.6164,-18.1881,-41.0807
sensor_noise_frequency_hz,29,0.483763,fourth_filtered_pd,2.89826,0.101387,21.3172,8.72986,0.0323284,2.89962,-17.6953,-40.0943
sensor_noise_frequency_hz,30,4.45092,unshaped_standard_pd,0.552872,0.0191351,20.2723,8.294,0.000284581,0.0206039,-60.3823,-84.9587
sensor_noise_frequency_hz,30,4.45092,unshaped_filtered_pd,0.498296,0.0170598,22.4769,8.85212,0.000365069,0.0253652,-58.0099,-82.6756
sensor_noise_frequency_hz,30,4.45092,fourth_standard_pd,0.0549248,0.00158312,21.775,8.87688,0.000277944,0.0183224,-60.1646,-85.345
sensor_noise_frequency_hz,30,4.45092,fourth_filtered_pd,0.0556423,0.00152418,23.358,9.398,0.000358005,0.0241312,-58.4243,-82.9524
