frequency_hz,controller,L_real,L_imag
0.010000,standard_pd,-3.105393e+02,-3.493569e+01
0.010000,filtered_pd,-3.106048e+02,-5.240345e+01
0.010093,standard_pd,-3.048654e+02,-3.461504e+01
0.010093,filtered_pd,-3.049309e+02,-5.192247e+01
0.010186,standard_pd,-2.992951e+02,-3.429734e+01
0.010186,filtered_pd,-2.993606e+02,-5.144591e+01
0.010280,standard_pd,-2.938266e+02,-3.398255e+01
0.010280,filtered_pd,-2.938921e+02,-5.097373e+01
0.010376,standard_pd,-2.884580e+02,-3.367064e+01
0.010376,filtered_pd,-2.885235e+02,-5.050587e+01
0.010472,standard_pd,-2.831875e+02,-3.336160e+01
0.010472,filtered_pd,-2.832530e+02,-5.004231e+01
0.010569,standard_pd,-2.780133e+02,-3.305540e+01
0.010569,filtered_pd,-2.780788e+02,-4.958300e+01
0.010667,standard_pd,-2.729337e+02,-3.275200e+01
0.010667,filtered_pd,-2.729992e+02,-4.912791e+01
0.010765,standard_pd,-2.679468e+02,-3.245139e+01
0.010765,filtered_pd,-2.680123e+02,-4.867699e+01
0.010865,standard_pd,-2.630510e+02,-3.215354e+01
0.010865,filtered_pd,-2.631165e+02,-4.823021e+01
0.010966,standard_pd,-2.582447e+02,-3.185842e+01
0.010966,filtered_pd,-2.583102e+02,-4.778753e+01
0.011067,standard_pd,-2.535262e+02,-3.156601e+01
0.011067,filtered_pd,-2.535917e+02,-4.734891e+01
0.011170,standard_pd,-2.488939e+02,-3.127628e+01
0.011170,filtered_pd,-2.489594e+02,-4.691432e+01
0.011273,standard_pd,-2.443462e+02,-3.098921e+01
0.011273,filtered_pd,-2.444117e+02,-4.648371e+01
0.011378,standard_pd,-2.398817e+02,-3.070477e+01
0.011378,filtered_pd,-2.399472e+02,-4.605706e+01
0.011483,standard_pd,-2.354987e+02,-3.042295e+01
0.011483,filtered_pd,-2.355642e+02,-4.563432e+01
0.011589,standard_pd,-2.311957e+02,-3.014371e+01
0.011589,filtered_pd,-2.312612e+02,-4.521546e+01
0.011697,standard_pd,-2.269714e+02,-2.986703e+01
0.011697,filtered_pd,-2.270369e+02,-4.480044e+01
0.011805,standard_pd,-2.228243e+02,-2.959289e+01
0.011805,filtered_pd,-2.228898e+02,-4.438923e+01
0.011915,standard_pd,-2.187529e+02,-2.932127e+01
0.011915,filtered_pd,-2.188184e+02,-4.398180e+01
0.012025,standard_pd,-2.147559e+02,-2.905214e+01
0.012025,filtered_pd,-2.148214e+02,-4.357810e+01
0.012136,standard_pd,-2.108320e+02,-2.878548e+01
0.012136,filtered_pd,-2.108975e+02,-4.317810e+01
0.012249,standard_pd,-2.069797e+02,-2.852126e+01
0.012249,filtered_pd,-2.070452e+02,-4.278178e+01
0.012362,standard_pd,-2.031978e+02,-2.825947e+01
0.012362,filtered_pd,-2.032633e+02,-4.238909e+01
0.012477,standard_pd,-1.994851e+02,-2.800008e+01
0.012477,filtered_pd,-1.995506e+02,-4.200001e+01
0.012592,standard_pd,-1.958401e+02,-2.774307e+01
0.012592,filtered_pd,-1.959056e+02,-4.161450e+01
0.012709,standard_pd,-1.922617e+02,-2.748842e+01
0.012709,filtered_pd,-1.923272e+02,-4.123252e+01
0.012826,standard_pd,-1.887488e+02,-2.723611e+01
0.012826,filtered_pd,-1.888143e+02,-4.085405e+01
0.012945,standard_pd,-1.853000e+02,-2.698611e+01
0.012945,filtered_pd,-1.853655e+02,-4.047905e+01
0.013065,standard_pd,-1.819142e+02,-2.673841e+01
0.013065,filtered_pd,-1.819797e+02,-4.010749e+01
0.013186,standard_pd,-1.785902e+02,-2.649297e+01
0.013186,filtered_pd,-1.786557e+02,-3.973934e+01
0.013308,standard_pd,-1.753270e+02,-2.624979e+01
0.013308,filtered_pd,-1.753925e+02,-3.937457e+01
0.013432,standard_pd,-1.721235e+02,-2.600885e+01
0.013432,filtered_pd,-1.721890e+02,-3.901315e+01
0.013556,standard_pd,-1.689784e+02,-2.577011e+01
0.013556,filtered_pd,-1.690439e+02,-3.865504e+01
0.013682,standard_pd,-1.658908e+02,-2.553356e+01
0.013682,filtered_pd,-1.659563e+02,-3.830022e+01
0.013808,standard_pd,-1.628596e+02,-2.529918e+01
0.013808,filtered_pd,-1.629251e+02,-3.794865e+01
0.013936,standard_pd,-1.598838e+02,-2.506696e+01
0.013936,filtered_pd,-1.599493e+02,-3.760031e+01
0.014065,standard_pd,-1.569624e+02,-2.483686e+01
0.014065,filtered_pd,-1.570279e+02,-3.725516e+01
0.014196,standard_pd,-1.540943e+02,-2.460887e+01
0.014196,filtered_pd,-1.541598e+02,-3.691318e+01
0.014327,standard_pd,-1.512787e+02,-2.438298e+01
0.014327,filtered_pd,-1.513442e+02,-3.657434e+01
0.014460,standard_pd,-1.485145e+02,-2.415916e+01
0.014460,filtered_pd,-1.485800e+02,-3.623861e+01
0.014594,standard_pd,-1.458007e+02,-2.393739e+01
0.014594,filtered_pd,-1.458662e+02,-3.590596e+01
0.014729,standard_pd,-1.431366e+02,-2.371766e+01
0.014729,filtered_pd,-1.432021e+02,-3.557636e+01
0.014865,standard_pd,-1.405212e+02,-2.349995e+01
