time_s,method,controller,error_deg
0.000000,unshaped,standard_pd,1.799999e+02
0.010000,unshaped,standard_pd,1.799998e+02
0.020000,unshaped,standard_pd,1.799994e+02
0.030000,unshaped,standard_pd,1.799990e+02
0.040000,unshaped,standard_pd,1.799985e+02
0.050000,unshaped,standard_pd,1.799978e+02
0.060000,unshaped,standard_pd,1.799971e+02
0.070000,unshaped,standard_pd,1.799962e+02
0.080000,unshaped,standard_pd,1.799952e+02
0.090000,unshaped,standard_pd,1.799941e+02
0.100000,unshaped,standard_pd,1.799929e+02
0.110000,unshaped,standard_pd,1.799917e+02
0.120000,unshaped,standard_pd,1.799903e+02
0.130000,unshaped,standard_pd,1.799888e+02
0.140000,unshaped,standard_pd,1.799873e+02
0.150000,unshaped,standard_pd,1.799856e+02
0.160000,unshaped,standard_pd,1.799839e+02
0.170000,unshaped,standard_pd,1.799821e+02
0.180000,unshaped,standard_pd,1.799803e+02
0.190000,unshaped,standard_pd,1.799783e+02
0.200000,unshaped,standard_pd,1.799763e+02
0.210000,unshaped,standard_pd,1.799742e+02
0.220000,unshaped,standard_pd,1.799721e+02
0.230000,unshaped,standard_pd,1.799699e+02
0.240000,unshaped,standard_pd,1.799676e+02
0.250000,unshaped,standard_pd,1.799653e+02
0.260000,unshaped,standard_pd,1.799629e+02
0.270000,unshaped,standard_pd,1.799604e+02
0.280000,unshaped,standard_pd,1.799579e+02
0.290000,unshaped,standard_pd,1.799553e+02
0.300000,unshaped,standard_pd,1.799527e+02
0.310000,unshaped,standard_pd,1.799501e+02
0.320000,unshaped,standard_pd,1.799473e+02
0.330000,unshaped,standard_pd,1.799445e+02
0.340000,unshaped,standard_pd,1.799417e+02
0.350000,unshaped,standard_pd,1.799388e+02
0.360000,unshaped,standard_pd,1.799358e+02
0.370000,unshaped,standard_pd,1.799328e+02
0.380000,unshaped,standard_pd,1.799297e+02
0.390000,unshaped,standard_pd,1.799265e+02
0.400000,unshaped,standard_pd,1.799233e+02
0.410000,unshaped,standard_pd,1.799200e+02
0.420000,unshaped,standard_pd,1.799167e+02
0.430000,unshaped,standard_pd,1.799133e+02
0.440000,unshaped,standard_pd,1.799098e+02
0.450000,unshaped,standard_pd,1.799062e+02
0.460000,unshaped,standard_pd,1.799026e+02
0.470000,unshaped,standard_pd,1.798988e+02
