frequency_hz,method,controller,psd_n2m2_per_hz
0.000000,unshaped,standard_pd,1.540558e-03
0.048828,unshaped,standard_pd,5.044257e-03
0.097656,unshaped,standard_pd,1.073675e-02
0.146484,unshaped,standard_pd,2.102640e-02
0.195313,unshaped,standard_pd,3.550892e-02
0.244141,unshaped,standard_pd,5.604981e-02
0.292969,unshaped,standard_pd,1.059698e-01
0.341797,unshaped,standard_pd,2.955444e-01
0.390625,unshaped,standard_pd,8.709060e-01
0.439453,unshaped,standard_pd,1.248256e+00
0.488281,unshaped,standard_pd,2.751605e-01
0.537109,unshaped,standard_pd,5.391455e-02
0.585938,unshaped,standard_pd,2.049445e-02
0.634766,unshaped,standard_pd,7.642594e-03
0.683594,unshaped,standard_pd,3.548127e-03
0.732422,unshaped,standard_pd,1.585674e-03
0.781250,unshaped,standard_pd,6.668497e-04
0.830078,unshaped,standard_pd,2.594920e-04
0.878906,unshaped,standard_pd,2.159554e-04
0.927734,unshaped,standard_pd,3.405854e-04
0.976563,unshaped,standard_pd,6.356994e-04
1.025391,unshaped,standard_pd,1.120337e-03
1.074219,unshaped,standard_pd,1.811052e-03
1.123047,unshaped,standard_pd,2.728670e-03
1.171875,unshaped,standard_pd,4.095595e-03
1.220703,unshaped,standard_pd,6.312214e-03
1.269531,unshaped,standard_pd,9.996310e-03
1.318359,unshaped,standard_pd,1.586635e-02
1.367188,unshaped,standard_pd,2.769467e-02
1.416016,unshaped,standard_pd,5.454823e-02
1.464844,unshaped,standard_pd,8.470684e-02
1.513672,unshaped,standard_pd,1.008472e-01
1.562500,unshaped,standard_pd,6.632692e-02
1.611328,unshaped,standard_pd,3.680019e-02
1.660156,unshaped,standard_pd,2.282014e-02
1.708984,unshaped,standard_pd,1.433403e-02
1.757813,unshaped,standard_pd,9.707288e-03
1.806641,unshaped,standard_pd,7.106637e-03
1.855469,unshaped,standard_pd,5.421337e-03
1.904297,unshaped,standard_pd,4.186316e-03
1.953125,unshaped,standard_pd,3.326342e-03
2.001953,unshaped,standard_pd,2.724713e-03
2.050781,unshaped,standard_pd,2.272398e-03
2.099609,unshaped,standard_pd,1.899835e-03
2.148438,unshaped,standard_pd,1.606252e-03
2.197266,unshaped,standard_pd,1.386836e-03
2.246094,unshaped,standard_pd,1.209222e-03
2.294922,unshaped,standard_pd,1.050979e-03
2.343750,unshaped,standard_pd,9.188510e-04
2.392578,unshaped,standard_pd,8.186624e-04
2.441406,unshaped,standard_pd,7.324269e-04
2.490234,unshaped,standard_pd,6.508713e-04
2.539063,unshaped,standard_pd,5.819331e-04
2.587891,unshaped,standard_pd,5.296550e-04
2.636719,unshaped,standard_pd,4.816061e-04
2.685547,unshaped,standard_pd,4.341202e-04
2.734375,unshaped,standard_pd,3.948552e-04
2.783203,unshaped,standard_pd,3.648658e-04
