frequency_hz,method,psd_n2m2_per_hz
0.000000,unshaped,7.302424e+01
0.048828,unshaped,2.376061e+02
0.097656,unshaped,5.856613e+01
0.146484,unshaped,2.586343e+01
0.195313,unshaped,1.446360e+01
0.244141,unshaped,8.123900e+00
0.292969,unshaped,5.497739e+00
0.341797,unshaped,4.130356e+00
0.390625,unshaped,3.187137e+00
0.439453,unshaped,2.479416e+00
0.488281,unshaped,1.976297e+00
0.537109,unshaped,1.648096e+00
0.585938,unshaped,1.389337e+00
0.634766,unshaped,1.183237e+00
0.683594,unshaped,1.007682e+00
0.732422,unshaped,8.817212e-01
0.781250,unshaped,7.785378e-01
0.830078,unshaped,6.895754e-01
0.878906,unshaped,6.091496e-01
0.927734,unshaped,5.485424e-01
0.976563,unshaped,4.982476e-01
1.025391,unshaped,4.504303e-01
1.074219,unshaped,4.074959e-01
1.123047,unshaped,3.744484e-01
1.171875,unshaped,3.461526e-01
1.220703,unshaped,3.168565e-01
1.269531,unshaped,2.916511e-01
1.318359,unshaped,2.721792e-01
1.367188,unshaped,2.542417e-01
1.416016,unshaped,2.348565e-01
1.464844,unshaped,2.191290e-01
1.513672,unshaped,2.069434e-01
1.562500,unshaped,1.944015e-01
1.611328,unshaped,1.810084e-01
1.660156,unshaped,1.708068e-01
1.708984,unshaped,1.626819e-01
1.757813,unshaped,1.532754e-01
1.806641,unshaped,1.438165e-01
1.855469,unshaped,1.370251e-01
1.904297,unshaped,1.311822e-01
1.953125,unshaped,1.238373e-01
2.001953,unshaped,1.171013e-01
2.050781,unshaped,1.124687e-01
2.099609,unshaped,1.079126e-01
2.148438,unshaped,1.020897e-01
2.197266,unshaped,9.729631e-02
2.246094,unshaped,9.401930e-02
2.294922,unshaped,9.021656e-02
2.343750,unshaped,8.561215e-02
2.392578,unshaped,8.222079e-02
2.441406,unshaped,7.975990e-02
2.490234,unshaped,7.645427e-02
2.539063,unshaped,7.286429e-02
2.587891,unshaped,7.047549e-02
2.636719,unshaped,6.847126e-02
2.685547,unshaped,6.556397e-02
2.734375,unshaped,6.282430e-02
2.783203,unshaped,6.112796e-02
2.832031,unshaped,5.935760e-02
2.880859,unshaped,5.682743e-02
2.929688,unshaped,5.478995e-02
2.978516,unshaped,5.353995e-02
3.027344,unshaped,5.188694e-02
3.076172,unshaped,4.973919e-02
3.125000,unshaped,4.826338e-02
3.173828,unshaped,4.726805e-02
3.222656,unshaped,4.569373e-02
3.271484,unshaped,4.393114e-02
3.320313,unshaped,4.288244e-02
3.369141,unshaped,4.200255e-02
3.417969,unshaped,4.051798e-02
3.466797,unshaped,3.912741e-02
3.515625,unshaped,3.837915e-02
3.564453,unshaped,3.752686e-02
3.613281,unshaped,3.616719e-02
3.662109,unshaped,3.511618e-02
3.710938,unshaped,3.455403e-02
3.759766,unshaped,3.368874e-02
3.808594,unshaped,3.249285e-02
3.857422,unshaped,3.173165e-02
3.906250,unshaped,3.125965e-02
3.955078,unshaped,3.037927e-02
4.003906,unshaped,2.937611e-02
4.052734,unshaped,2.884256e-02
4.101563,unshaped,2.838888e-02
4.150391,unshaped,2.751752e-02
4.199219,unshaped,2.671900e-02
4.248047,unshaped,2.634490e-02
4.296875,unshaped,2.586542e-02
4.345703,unshaped,2.504000e-02
4.394531,unshaped,2.443918e-02
4.443359,unshaped,2.415742e-02
4.492188,unshaped,2.363568e-02
4.541016,unshaped,2.289378e-02
4.589844,unshaped,2.246674e-02
4.638672,unshaped,2.221840e-02
4.687500,unshaped,2.166159e-02
4.736328,unshaped,2.103246e-02
4.785156,unshaped,2.074248e-02
4.833984,unshaped,2.048291e-02
4.882813,unshaped,1.991470e-02
4.931641,unshaped,1.941401e-02
4.980469,unshaped,1.921713e-02
5.029297,unshaped,1.891978e-02
5.078125,unshaped,1.837173e-02
5.126953,unshaped,1.799987e-02
5.175781,unshaped,1.785106e-02
5.224609,unshaped,1.750824e-02
5.273438,unshaped,1.701161e-02
5.322266,unshaped,1.675479e-02
5.371094,unshaped,1.661402e-02
5.419922,unshaped,1.623454e-02
5.468750,unshaped,1.581382e-02
5.517578,unshaped,1.564726e-02
5.566406,unshaped,1.548448e-02
5.615234,unshaped,1.508882e-02
5.664063,unshaped,1.475772e-02
5.712891,unshaped,1.465010e-02
5.761719,unshaped,1.444842e-02
5.810547,unshaped,1.406259e-02
5.859375,unshaped,1.382262e-02
5.908203,unshaped,1.374120e-02
5.957031,unshaped,1.349761e-02
6.005859,unshaped,1.314706e-02
6.054688,unshaped,1.298832e-02
6.103516,unshaped,1.290388e-02
6.152344,unshaped,1.262758e-02
6.201172,unshaped,1.233225e-02
6.250000,unshaped,1.223596e-02
6.298828,unshaped,1.212690e-02
6.347656,unshaped,1.183558e-02
6.396484,unshaped,1.160676e-02
6.445313,unshaped,1.154888e-02
6.494141,unshaped,1.140377e-02
6.542969,unshaped,1.111901e-02
6.591797,unshaped,1.095813e-02
6.640625,unshaped,1.091351e-02
6.689453,unshaped,1.073170e-02
6.738281,unshaped,1.047421e-02
6.787109,unshaped,1.037343e-02
6.835938,unshaped,1.031991e-02
6.884766,unshaped,1.011014e-02
6.933594,unshaped,9.895930e-03
6.982422,unshaped,9.840201e-03
7.031250,unshaped,9.761857e-03
7.080078,unshaped,9.539368e-03
7.128906,unshaped,9.377236e-03
7.177734,unshaped,9.347315e-03
7.226563,unshaped,9.236454e-03
7.275391,unshaped,9.019261e-03
7.324219,unshaped,8.909884e-03
7.373047,unshaped,8.885795e-03
7.421875,unshaped,8.743343e-03
7.470703,unshaped,8.548466e-03
7.519531,unshaped,8.484946e-03
7.568359,unshaped,8.449328e-03
7.617188,unshaped,8.283628e-03
7.666016,unshaped,8.123989e-03
7.714844,unshaped,8.093611e-03
7.763672,unshaped,8.034389e-03
7.812500,unshaped,7.858775e-03
7.861328,unshaped,7.741203e-03
7.910156,unshaped,7.728007e-03
7.958984,unshaped,7.639950e-03
8.007813,unshaped,7.469676e-03
8.056641,unshaped,7.394192e-03
8.105469,unshaped,7.381896e-03
8.154297,unshaped,7.266838e-03
8.203125,unshaped,7.115992e-03
8.251953,unshaped,7.076344e-03
8.300781,unshaped,7.051118e-03
8.349609,unshaped,6.916873e-03
8.398438,unshaped,6.795860e-03
8.447266,unshaped,6.781063e-03
8.496094,unshaped,6.733701e-03
8.544922,unshaped,6.591982e-03
8.593750,unshaped,6.505930e-03
8.642578,unshaped,6.502490e-03
8.691406,unshaped,6.429613e-03
8.740234,unshaped,6.293442e-03
8.789063,unshaped,6.241697e-03
8.837891,unshaped,6.236104e-03
