frequency_hz,method,controller,psd_disp_m2_per_hz
0.000000,unshaped,standard_pd,2.962152e-08
0.048828,unshaped,standard_pd,1.488647e-08
0.097656,unshaped,standard_pd,1.460175e-08
0.146484,unshaped,standard_pd,6.304502e-08
0.195313,unshaped,standard_pd,1.835953e-07
0.244141,unshaped,standard_pd,3.958587e-07
0.292969,unshaped,standard_pd,1.077424e-06
0.341797,unshaped,standard_pd,4.444064e-06
0.390625,unshaped,standard_pd,2.587891e-05
0.439453,unshaped,standard_pd,2.372379e-05
0.488281,unshaped,standard_pd,7.513504e-06
0.537109,unshaped,standard_pd,1.357188e-06
0.585938,unshaped,standard_pd,7.170157e-07
0.634766,unshaped,standard_pd,6.738643e-07
0.683594,unshaped,standard_pd,7.352656e-07
0.732422,unshaped,standard_pd,1.000899e-06
0.781250,unshaped,standard_pd,1.671312e-06
0.830078,unshaped,standard_pd,2.345191e-06
0.878906,unshaped,standard_pd,1.480136e-06
0.927734,unshaped,standard_pd,4.889038e-07
0.976563,unshaped,standard_pd,1.502802e-07
1.025391,unshaped,standard_pd,5.735643e-08
1.074219,unshaped,standard_pd,3.834684e-08
1.123047,unshaped,standard_pd,6.441321e-08
1.171875,unshaped,standard_pd,1.056027e-07
1.220703,unshaped,standard_pd,1.414899e-07
1.269531,unshaped,standard_pd,1.508857e-07
1.318359,unshaped,standard_pd,1.267688e-07
1.367188,unshaped,standard_pd,9.085653e-08
1.416016,unshaped,standard_pd,6.163961e-08
1.464844,unshaped,standard_pd,4.337303e-08
1.513672,unshaped,standard_pd,2.770724e-08
1.562500,unshaped,standard_pd,2.671606e-08
1.611328,unshaped,standard_pd,4.783437e-08
1.660156,unshaped,standard_pd,8.355651e-08
1.708984,unshaped,standard_pd,7.113574e-08
1.757813,unshaped,standard_pd,3.630327e-08
1.806641,unshaped,standard_pd,2.020733e-08
1.855469,unshaped,standard_pd,1.327565e-08
1.904297,unshaped,standard_pd,8.317003e-09
1.953125,unshaped,standard_pd,4.409495e-09
2.001953,unshaped,standard_pd,1.857603e-09
2.050781,unshaped,standard_pd,1.187490e-09
2.099609,unshaped,standard_pd,1.511070e-09
2.148438,unshaped,standard_pd,1.825654e-09
2.197266,unshaped,standard_pd,1.646394e-09
2.246094,unshaped,standard_pd,1.238649e-09
2.294922,unshaped,standard_pd,1.035100e-09
2.343750,unshaped,standard_pd,1.231647e-09
2.392578,unshaped,standard_pd,1.966623e-09
2.441406,unshaped,standard_pd,5.059005e-09
2.490234,unshaped,standard_pd,1.149219e-08
2.539063,unshaped,standard_pd,1.122533e-08
2.587891,unshaped,standard_pd,5.026855e-09
2.636719,unshaped,standard_pd,2.421279e-09
2.685547,unshaped,standard_pd,1.597981e-09
2.734375,unshaped,standard_pd,9.600352e-10
2.783203,unshaped,standard_pd,4.730114e-10
2.832031,unshaped,standard_pd,2.431608e-10
2.880859,unshaped,standard_pd,2.971056e-10
2.929688,unshaped,standard_pd,5.987353e-10
2.978516,unshaped,standard_pd,1.080413e-09
3.027344,unshaped,standard_pd,1.600552e-09
3.076172,unshaped,standard_pd,1.934603e-09
3.125000,unshaped,standard_pd,1.930322e-09
3.173828,unshaped,standard_pd,1.637614e-09
3.222656,unshaped,standard_pd,1.295622e-09
3.271484,unshaped,standard_pd,1.427759e-09
3.320313,unshaped,standard_pd,2.618273e-09
3.369141,unshaped,standard_pd,3.037658e-09
3.417969,unshaped,standard_pd,1.605189e-09
3.466797,unshaped,standard_pd,1.007968e-09
3.515625,unshaped,standard_pd,9.773940e-10
3.564453,unshaped,standard_pd,9.428845e-10
3.613281,unshaped,standard_pd,7.610498e-10
3.662109,unshaped,standard_pd,4.989740e-10
3.710938,unshaped,standard_pd,2.604514e-10
3.759766,unshaped,standard_pd,1.022948e-10
3.808594,unshaped,standard_pd,3.235836e-11
3.857422,unshaped,standard_pd,3.782296e-11
3.906250,unshaped,standard_pd,8.417238e-11
3.955078,unshaped,standard_pd,1.353054e-10
4.003906,unshaped,standard_pd,1.712500e-10
4.052734,unshaped,standard_pd,2.039136e-10
4.101563,unshaped,standard_pd,3.893034e-10
4.150391,unshaped,standard_pd,9.617274e-10
4.199219,unshaped,standard_pd,1.310800e-09
4.248047,unshaped,standard_pd,6.693470e-10
4.296875,unshaped,standard_pd,2.864742e-10
4.345703,unshaped,standard_pd,1.984279e-10
4.394531,unshaped,standard_pd,1.607607e-10
4.443359,unshaped,standard_pd,1.155583e-10
4.492188,unshaped,standard_pd,7.394789e-11
4.541016,unshaped,standard_pd,4.988794e-11
4.589844,unshaped,standard_pd,5.093592e-11
4.638672,unshaped,standard_pd,7.278917e-11
4.687500,unshaped,standard_pd,1.058768e-10
4.736328,unshaped,standard_pd,1.366637e-10
