frequency_hz,controller,S_mag_db,T_mag_db
0.010000,standard_pd,-48.1859,0.0336
0.010000,filtered_pd,-48.2555,0.0330
0.010093,standard_pd,-48.0261,0.0342
0.010093,filtered_pd,-48.0970,0.0336
0.010186,standard_pd,-47.8663,0.0348
0.010186,filtered_pd,-47.9385,0.0343
0.010280,standard_pd,-47.7066,0.0355
0.010280,filtered_pd,-47.7801,0.0349
0.010376,standard_pd,-47.5468,0.0361
0.010376,filtered_pd,-47.6217,0.0355
0.010472,standard_pd,-47.3871,0.0368
0.010472,filtered_pd,-47.4633,0.0361
0.010569,standard_pd,-47.2274,0.0374
0.010569,filtered_pd,-47.3050,0.0368
0.010667,standard_pd,-47.0676,0.0381
0.010667,filtered_pd,-47.1467,0.0375
0.010765,standard_pd,-46.9079,0.0388
0.010765,filtered_pd,-46.9884,0.0381
0.010865,standard_pd,-46.7482,0.0396
0.010865,filtered_pd,-46.8302,0.0388
0.010966,standard_pd,-46.5885,0.0403
0.010966,filtered_pd,-46.6720,0.0395
0.011067,standard_pd,-46.4288,0.0410
0.011067,filtered_pd,-46.5139,0.0402
0.011170,standard_pd,-46.2691,0.0418
0.011170,filtered_pd,-46.3557,0.0410
0.011273,standard_pd,-46.1095,0.0425
0.011273,filtered_pd,-46.1977,0.0417
0.011378,standard_pd,-45.9498,0.0433
0.011378,filtered_pd,-46.0396,0.0424
0.011483,standard_pd,-45.7902,0.0441
0.011483,filtered_pd,-45.8816,0.0432
0.011589,standard_pd,-45.6305,0.0449
0.011589,filtered_pd,-45.7236,0.0440
0.011697,standard_pd,-45.4709,0.0457
0.011697,filtered_pd,-45.5657,0.0448
0.011805,standard_pd,-45.3113,0.0466
0.011805,filtered_pd,-45.4078,0.0456
0.011915,standard_pd,-45.1516,0.0474
0.011915,filtered_pd,-45.2500,0.0464
0.012025,standard_pd,-44.9920,0.0483
0.012025,filtered_pd,-45.0922,0.0472
0.012136,standard_pd,-44.8325,0.0492
0.012136,filtered_pd,-44.9344,0.0481
0.012249,standard_pd,-44.6729,0.0501
0.012249,filtered_pd,-44.7767,0.0489
0.012362,standard_pd,-44.5133,0.0510
0.012362,filtered_pd,-44.6190,0.0498
0.012477,standard_pd,-44.3537,0.0519
0.012477,filtered_pd,-44.4614,0.0507
0.012592,standard_pd,-44.1942,0.0529
0.012592,filtered_pd,-44.3038,0.0516
0.012709,standard_pd,-44.0347,0.0539
0.012709,filtered_pd,-44.1462,0.0525
0.012826,standard_pd,-43.8751,0.0549
0.012826,filtered_pd,-43.9887,0.0535
0.012945,standard_pd,-43.7156,0.0559
0.012945,filtered_pd,-43.8313,0.0544
0.013065,standard_pd,-43.5561,0.0569
0.013065,filtered_pd,-43.6739,0.0554
0.013186,standard_pd,-43.3966,0.0579
0.013186,filtered_pd,-43.5165,0.0564
0.013308,standard_pd,-43.2371,0.0590
0.013308,filtered_pd,-43.3592,0.0574
0.013432,standard_pd,-43.0777,0.0600
0.013432,filtered_pd,-43.2020,0.0584
0.013556,standard_pd,-42.9182,0.0611
0.013556,filtered_pd,-43.0448,0.0594
0.013682,standard_pd,-42.7588,0.0623
0.013682,filtered_pd,-42.8877,0.0605
0.013808,standard_pd,-42.5994,0.0634
0.013808,filtered_pd,-42.7306,0.0615
0.013936,standard_pd,-42.4399,0.0645
0.013936,filtered_pd,-42.5736,0.0626
0.014065,standard_pd,-42.2805,0.0657
0.014065,filtered_pd,-42.4166,0.0637
0.014196,standard_pd,-42.1212,0.0669
0.014196,filtered_pd,-42.2597,0.0649
0.014327,standard_pd,-41.9618,0.0681
0.014327,filtered_pd,-42.1028,0.0660
0.014460,standard_pd,-41.8024,0.0694
0.014460,filtered_pd,-41.9460,0.0672
0.014594,standard_pd,-41.6431,0.0706
0.014594,filtered_pd,-41.7893,0.0684
0.014729,standard_pd,-41.4838,0.0719
0.014729,filtered_pd,-41.6326,0.0696
0.014865,standard_pd,-41.3245,0.0732
0.014865,filtered_pd,-41.4760,0.0708
0.015003,standard_pd,-41.1652,0.0746
0.015003,filtered_pd,-41.3194,0.0720
0.015142,standard_pd,-41.0059,0.0759
0.015142,filtered_pd,-41.1629,0.0733
0.015282,standard_pd,-40.8466,0.0773
0.015282,filtered_pd,-41.0065,0.0746
0.015424,standard_pd,-40.6874,0.0787
0.015424,filtered_pd,-40.8501,0.0759
0.015567,standard_pd,-40.5282,0.0801
0.015567,filtered_pd,-40.6939,0.0772
0.015711,standard_pd,-40.3690,0.0816
0.015711,filtered_pd,-40.5376,0.0785
0.015856,standard_pd,-40.2098,0.0831
0.015856,filtered_pd,-40.3815,0.0799
0.016003,standard_pd,-40.0506,0.0846
0.016003,filtered_pd,-40.2254,0.0813
0.016151,standard_pd,-39.8914,0.0861
0.016151,filtered_pd,-40.0694,0.0827
0.016301,standard_pd,-39.7323,0.0876
0.016301,filtered_pd,-39.9135,0.0841
0.016452,standard_pd,-39.5732,0.0892
0.016452,filtered_pd,-39.7576,0.0856
0.016604,standard_pd,-39.4141,0.0908
0.016604,filtered_pd,-39.6018,0.0871
0.016758,standard_pd,-39.2550,0.0925
0.016758,filtered_pd,-39.4461,0.0886
0.016913,standard_pd,-39.0960,0.0942
0.016913,filtered_pd,-39.2905,0.0901
0.017070,standard_pd,-38.9369,0.0959
0.017070,filtered_pd,-39.1349,0.0917
0.017228,standard_pd,-38.7779,0.0976
0.017228,filtered_pd,-38.9795,0.0933
0.017388,standard_pd,-38.6189,0.0993
0.017388,filtered_pd,-38.8241,0.0949
0.017549,standard_pd,-38.4600,0.1011
0.017549,filtered_pd,-38.6688,0.0965
0.017711,standard_pd,-38.3010,0.1030
0.017711,filtered_pd,-38.5136,0.0982
0.017875,standard_pd,-38.1421,0.1048
0.017875,filtered_pd,-38.3584,0.0998
0.018041,standard_pd,-37.9832,0.1067
0.018041,filtered_pd,-38.2034,0.1015
0.018208,standard_pd,-37.8243,0.1086
0.018208,filtered_pd,-38.0484,0.1033
0.018377,standard_pd,-37.6654,0.1106
0.018377,filtered_pd,-37.8936,0.1050
0.018547,standard_pd,-37.5066,0.1125
0.018547,filtered_pd,-37.7388,0.1068
0.018719,standard_pd,-37.3478,0.1146
0.018719,filtered_pd,-37.5841,0.1086
0.018892,standard_pd,-37.1890,0.1166
0.018892,filtered_pd,-37.4296,0.1105
0.019067,standard_pd,-37.0303,0.1187
0.019067,filtered_pd,-37.2751,0.1124
0.019244,standard_pd,-36.8715,0.1208
0.019244,filtered_pd,-37.1207,0.1143
0.019422,standard_pd,-36.7128,0.1230
0.019422,filtered_pd,-36.9664,0.1162
0.019602,standard_pd,-36.5542,0.1252
0.019602,filtered_pd,-36.8122,0.1181
0.019783,standard_pd,-36.3955,0.1274
0.019783,filtered_pd,-36.6582,0.1201
0.019966,standard_pd,-36.2369,0.1297
0.019966,filtered_pd,-36.5042,0.1221
0.020151,standard_pd,-36.0783,0.1320
0.020151,filtered_pd,-36.3503,0.1242
0.020338,standard_pd,-35.9197,0.1343
0.020338,filtered_pd,-36.1966,0.1263
0.020526,standard_pd,-35.7612,0.1367
0.020526,filtered_pd,-36.0429,0.1284
0.020716,standard_pd,-35.6027,0.1392
0.020716,filtered_pd,-35.8894,0.1305
0.020908,standard_pd,-35.4442,0.1416
0.020908,filtered_pd,-35.7360,0.1327
