frequency_hz,controller,S_mag_db,T_mag_db
0.010000,standard_pd,-49.8693,0.0277
0.010000,filtered_pd,-49.9388,0.0272
0.010093,standard_pd,-49.7096,0.0282
0.010093,filtered_pd,-49.7804,0.0277
0.010186,standard_pd,-49.5500,0.0287
0.010186,filtered_pd,-49.6221,0.0282
0.010280,standard_pd,-49.3903,0.0292
0.010280,filtered_pd,-49.4637,0.0287
0.010376,standard_pd,-49.2307,0.0298
0.010376,filtered_pd,-49.3054,0.0293
0.010472,standard_pd,-49.0710,0.0303
0.010472,filtered_pd,-49.1472,0.0298
0.010569,standard_pd,-48.9114,0.0309
0.010569,filtered_pd,-48.9890,0.0303
0.010667,standard_pd,-48.7518,0.0314
0.010667,filtered_pd,-48.8308,0.0309
0.010765,standard_pd,-48.5922,0.0320
0.010765,filtered_pd,-48.6726,0.0314
0.010865,standard_pd,-48.4326,0.0326
0.010865,filtered_pd,-48.5145,0.0320
0.010966,standard_pd,-48.2730,0.0332
0.010966,filtered_pd,-48.3564,0.0326
0.011067,standard_pd,-48.1135,0.0338
0.011067,filtered_pd,-48.1984,0.0332
0.011170,standard_pd,-47.9539,0.0344
0.011170,filtered_pd,-48.0404,0.0338
0.011273,standard_pd,-47.7944,0.0351
0.011273,filtered_pd,-47.8824,0.0344
0.011378,standard_pd,-47.6348,0.0357
0.011378,filtered_pd,-47.7245,0.0350
0.011483,standard_pd,-47.4753,0.0364
0.011483,filtered_pd,-47.5666,0.0356
0.011589,standard_pd,-47.3158,0.0370
0.011589,filtered_pd,-47.4087,0.0362
0.011697,standard_pd,-47.1563,0.0377
0.011697,filtered_pd,-47.2509,0.0369
0.011805,standard_pd,-46.9968,0.0384
0.011805,filtered_pd,-47.0932,0.0376
0.011915,standard_pd,-46.8373,0.0391
0.011915,filtered_pd,-46.9354,0.0382
0.012025,standard_pd,-46.6779,0.0398
0.012025,filtered_pd,-46.7778,0.0389
0.012136,standard_pd,-46.5184,0.0405
0.012136,filtered_pd,-46.6201,0.0396
0.012249,standard_pd,-46.3590,0.0413
0.012249,filtered_pd,-46.4626,0.0403
0.012362,standard_pd,-46.1995,0.0420
0.012362,filtered_pd,-46.3050,0.0410
0.012477,standard_pd,-46.0401,0.0428
0.012477,filtered_pd,-46.1475,0.0418
0.012592,standard_pd,-45.8807,0.0436
0.012592,filtered_pd,-45.9901,0.0425
0.012709,standard_pd,-45.7214,0.0444
0.012709,filtered_pd,-45.8327,0.0433
0.012826,standard_pd,-45.5620,0.0452
0.012826,filtered_pd,-45.6754,0.0441
0.012945,standard_pd,-45.4026,0.0460
0.012945,filtered_pd,-45.5181,0.0448
0.013065,standard_pd,-45.2433,0.0469
0.013065,filtered_pd,-45.3608,0.0456
0.013186,standard_pd,-45.0840,0.0477
0.013186,filtered_pd,-45.2036,0.0464
0.013308,standard_pd,-44.9247,0.0486
0.013308,filtered_pd,-45.0465,0.0473
0.013432,standard_pd,-44.7654,0.0495
0.013432,filtered_pd,-44.8894,0.0481
0.013556,standard_pd,-44.6061,0.0504
0.013556,filtered_pd,-44.7324,0.0490
0.013682,standard_pd,-44.4468,0.0513
0.013682,filtered_pd,-44.5754,0.0498
0.013808,standard_pd,-44.2876,0.0522
0.013808,filtered_pd,-44.4185,0.0507
0.013936,standard_pd,-44.1284,0.0532
0.013936,filtered_pd,-44.2616,0.0516
0.014065,standard_pd,-43.9692,0.0541
0.014065,filtered_pd,-44.1048,0.0525
0.014196,standard_pd,-43.8100,0.0551
0.014196,filtered_pd,-43.9481,0.0534
0.014327,standard_pd,-43.6508,0.0561
0.014327,filtered_pd,-43.7914,0.0544
0.014460,standard_pd,-43.4916,0.0572
0.014460,filtered_pd,-43.6348,0.0553
0.014594,standard_pd,-43.3325,0.0582
0.014594,filtered_pd,-43.4783,0.0563
0.014729,standard_pd,-43.1734,0.0593
0.014729,filtered_pd,-43.3218,0.0573
0.014865,standard_pd,-43.0143,0.0603
0.014865,filtered_pd,-43.1654,0.0583
0.015003,standard_pd,-42.8552,0.0614
0.015003,filtered_pd,-43.0090,0.0593
0.015142,standard_pd,-42.6962,0.0625
0.015142,filtered_pd,-42.8527,0.0604
0.015282,standard_pd,-42.5371,0.0637
0.015282,filtered_pd,-42.6965,0.0614
0.015424,standard_pd,-42.3781,0.0648
0.015424,filtered_pd,-42.5404,0.0625
0.015567,standard_pd,-42.2191,0.0660
0.015567,filtered_pd,-42.3843,0.0636
0.015711,standard_pd,-42.0601,0.0672
0.015711,filtered_pd,-42.2283,0.0647
0.015856,standard_pd,-41.9012,0.0684
0.015856,filtered_pd,-42.0723,0.0658
0.016003,standard_pd,-41.7422,0.0697
0.016003,filtered_pd,-41.9165,0.0670
0.016151,standard_pd,-41.5833,0.0709
0.016151,filtered_pd,-41.7607,0.0681
0.016301,standard_pd,-41.4245,0.0722
0.016301,filtered_pd,-41.6050,0.0693
0.016452,standard_pd,-41.2656,0.0735
0.016452,filtered_pd,-41.4494,0.0705
0.016604,standard_pd,-41.1068,0.0748
0.016604,filtered_pd,-41.2938,0.0717
0.016758,standard_pd,-40.9479,0.0762
0.016758,filtered_pd,-41.1383,0.0730
0.016913,standard_pd,-40.7892,0.0776
0.016913,filtered_pd,-40.9830,0.0742
0.017070,standard_pd,-40.6304,0.0790
0.017070,filtered_pd,-40.8277,0.0755
0.017228,standard_pd,-40.4717,0.0804
0.017228,filtered_pd,-40.6724,0.0768
0.017388,standard_pd,-40.3130,0.0818
0.017388,filtered_pd,-40.5173,0.0781
0.017549,standard_pd,-40.1543,0.0833
0.017549,filtered_pd,-40.3623,0.0795
0.017711,standard_pd,-39.9956,0.0848
0.017711,filtered_pd,-40.2073,0.0809
0.017875,standard_pd,-39.8370,0.0863
0.017875,filtered_pd,-40.0525,0.0822
0.018041,standard_pd,-39.6784,0.0879
0.018041,filtered_pd,-39.8977,0.0836
0.018208,standard_pd,-39.5198,0.0894
0.018208,filtered_pd,-39.7430,0.0851
0.018377,standard_pd,-39.3613,0.0911
0.018377,filtered_pd,-39.5884,0.0865
0.018547,standard_pd,-39.2028,0.0927
0.018547,filtered_pd,-39.4340,0.0880
0.018719,standard_pd,-39.0443,0.0943
0.018719,filtered_pd,-39.2796,0.0895
0.018892,standard_pd,-38.8858,0.0960
0.018892,filtered_pd,-39.1253,0.0910
0.019067,standard_pd,-38.7274,0.0977
0.019067,filtered_pd,-38.9711,0.0925
0.019244,standard_pd,-38.5690,0.0995
0.019244,filtered_pd,-38.8170,0.0941
0.019422,standard_pd,-38.4107,0.1013
0.019422,filtered_pd,-38.6630,0.0957
0.019602,standard_pd,-38.2523,0.1031
0.019602,filtered_pd,-38.5092,0.0973
0.019783,standard_pd,-38.0941,0.1049
0.019783,filtered_pd,-38.3554,0.0989
0.019966,standard_pd,-37.9358,0.1068
0.019966,filtered_pd,-38.2018,0.1006
0.020151,standard_pd,-37.7776,0.1087
0.020151,filtered_pd,-38.0482,0.1023
0.020338,standard_pd,-37.6194,0.1106
0.020338,filtered_pd,-37.8948,0.1040
0.020526,standard_pd,-37.4612,0.1126
0.020526,filtered_pd,-37.7415,0.1057
0.020716,standard_pd,-37.3031,0.1146
0.020716,filtered_pd,-37.5883,0.1075
0.020908,standard_pd,-37.1451,0.1166
0.020908,filtered_pd,-37.4352,0.1093
0.021102,standard_pd,-36.9870,0.1187
0.021102,filtered_pd,-37.2822,0.1111
0.021297,standard_pd,-36.8290,0.1208
0.021297,filtered_pd,-37.1294,0.1129
0.021495,standard_pd,-36.6711,0.1229
0.021495,filtered_pd,-36.9767,0.1148
0.021694,standard_pd,-36.5132,0.1251
0.021694,filtered_pd,-36.8241,0.1167
0.021895,standard_pd,-36.3553,0.1273
