time_s,method,controller,displacement_m
0.000000,unshaped,standard_pd,-3.497344e-03
0.010000,unshaped,standard_pd,-3.521641e-03
0.020000,unshaped,standard_pd,-3.534209e-03
0.030000,unshaped,standard_pd,-3.535396e-03
0.040000,unshaped,standard_pd,-3.525619e-03
0.050000,unshaped,standard_pd,-3.505359e-03
0.060000,unshaped,standard_pd,-3.475158e-03
0.070000,unshaped,standard_pd,-3.435611e-03
0.080000,unshaped,standard_pd,-3.387361e-03
0.090000,unshaped,standard_pd,-3.331092e-03
0.100000,unshaped,standard_pd,-3.267518e-03
0.110000,unshaped,standard_pd,-3.197380e-03
0.120000,unshaped,standard_pd,-3.121436e-03
0.130000,unshaped,standard_pd,-3.040451e-03
0.140000,unshaped,standard_pd,-2.955193e-03
0.150000,unshaped,standard_pd,-2.866419e-03
0.160000,unshaped,standard_pd,-2.774872e-03
0.170000,unshaped,standard_pd,-2.681269e-03
0.180000,unshaped,standard_pd,-2.586295e-03
0.190000,unshaped,standard_pd,-2.490593e-03
0.200000,unshaped,standard_pd,-2.394762e-03
0.210000,unshaped,standard_pd,-2.299344e-03
0.220000,unshaped,standard_pd,-2.204821e-03
0.230000,unshaped,standard_pd,-2.111609e-03
0.240000,unshaped,standard_pd,-2.020053e-03
0.250000,unshaped,standard_pd,-1.930426e-03
0.260000,unshaped,standard_pd,-1.842921e-03
0.270000,unshaped,standard_pd,-1.757654e-03
0.280000,unshaped,standard_pd,-1.674661e-03
0.290000,unshaped,standard_pd,-1.593901e-03
0.300000,unshaped,standard_pd,-1.515255e-03
0.310000,unshaped,standard_pd,-1.438536e-03
0.320000,unshaped,standard_pd,-1.363486e-03
0.330000,unshaped,standard_pd,-1.289790e-03
0.340000,unshaped,standard_pd,-1.217078e-03
0.350000,unshaped,standard_pd,-1.144941e-03
0.360000,unshaped,standard_pd,-1.072934e-03
0.370000,unshaped,standard_pd,-1.000592e-03
0.380000,unshaped,standard_pd,-9.274411e-04
0.390000,unshaped,standard_pd,-8.530077e-04
0.400000,unshaped,standard_pd,-7.768329e-04
0.410000,unshaped,standard_pd,-6.984821e-04
0.420000,unshaped,standard_pd,-6.175549e-04
0.430000,unshaped,standard_pd,-5.336938e-04
0.440000,unshaped,standard_pd,-4.465913e-04
0.450000,unshaped,standard_pd,-3.559948e-04
0.460000,unshaped,standard_pd,-2.617097e-04
0.470000,unshaped,standard_pd,-1.636009e-04
0.480000,unshaped,standard_pd,-6.159173e-05
0.490000,unshaped,standard_pd,4.433791e-05
0.500000,unshaped,standard_pd,1.541557e-04
0.510000,unshaped,standard_pd,2.677816e-04
0.520000,unshaped,standard_pd,3.850941e-04
0.530000,unshaped,standard_pd,5.059358e-04
0.540000,unshaped,standard_pd,6.301211e-04
0.550000,unshaped,standard_pd,7.574419e-04
0.560000,unshaped,standard_pd,8.876741e-04
0.570000,unshaped,standard_pd,1.020584e-03
0.580000,unshaped,standard_pd,1.155933e-03
0.590000,unshaped,standard_pd,1.293482e-03
0.600000,unshaped,standard_pd,1.432996e-03
0.610000,unshaped,standard_pd,1.574245e-03
0.620000,unshaped,standard_pd,1.717009e-03
0.630000,unshaped,standard_pd,1.861076e-03
0.640000,unshaped,standard_pd,2.006244e-03
0.650000,unshaped,standard_pd,2.152321e-03
0.660000,unshaped,standard_pd,2.299123e-03
0.670000,unshaped,standard_pd,2.446475e-03
0.680000,unshaped,standard_pd,2.594206e-03
0.690000,unshaped,standard_pd,2.742148e-03
0.700000,unshaped,standard_pd,2.890135e-03
0.710000,unshaped,standard_pd,3.038001e-03
0.720000,unshaped,standard_pd,3.185576e-03
0.730000,unshaped,standard_pd,3.332683e-03
0.740000,unshaped,standard_pd,3.479142e-03
0.750000,unshaped,standard_pd,3.624760e-03
0.760000,unshaped,standard_pd,3.769337e-03
0.770000,unshaped,standard_pd,3.912664e-03
0.780000,unshaped,standard_pd,4.054518e-03
0.790000,unshaped,standard_pd,4.194669e-03
0.800000,unshaped,standard_pd,4.332876e-03
0.810000,unshaped,standard_pd,4.468889e-03
0.820000,unshaped,standard_pd,4.602453e-03
0.830000,unshaped,standard_pd,4.733306e-03
0.840000,unshaped,standard_pd,4.861186e-03
0.850000,unshaped,standard_pd,4.985829e-03
0.860000,unshaped,standard_pd,5.106973e-03
0.870000,unshaped,standard_pd,5.224362e-03
0.880000,unshaped,standard_pd,5.337750e-03
0.890000,unshaped,standard_pd,5.446898e-03
0.900000,unshaped,standard_pd,5.551584e-03
0.910000,unshaped,standard_pd,5.651599e-03
0.920000,unshaped,standard_pd,5.746756e-03
0.930000,unshaped,standard_pd,5.836885e-03
0.940000,unshaped,standard_pd,5.921840e-03
0.950000,unshaped,standard_pd,6.001498e-03
0.960000,unshaped,standard_pd,6.075762e-03
0.970000,unshaped,standard_pd,6.144557e-03
0.980000,unshaped,standard_pd,6.207838e-03
0.990000,unshaped,standard_pd,6.265580e-03
1.000000,unshaped,standard_pd,6.317788e-03
1.010000,unshaped,standard_pd,6.364487e-03
