time_s,method,displacement_m
0.000000,unshaped,4.789806e-03
0.010000,unshaped,4.837443e-03
0.020000,unshaped,4.868107e-03
0.030000,unshaped,4.881967e-03
0.040000,unshaped,4.879277e-03
0.050000,unshaped,4.860377e-03
0.060000,unshaped,4.825689e-03
0.070000,unshaped,4.775715e-03
0.080000,unshaped,4.711029e-03
0.090000,unshaped,4.632279e-03
0.100000,unshaped,4.540176e-03
0.110000,unshaped,4.435492e-03
0.120000,unshaped,4.319052e-03
0.130000,unshaped,4.191730e-03
0.140000,unshaped,4.054440e-03
0.150000,unshaped,3.908131e-03
0.160000,unshaped,3.753780e-03
0.170000,unshaped,3.592382e-03
0.180000,unshaped,3.424945e-03
0.190000,unshaped,3.252483e-03
0.200000,unshaped,3.076008e-03
0.210000,unshaped,2.896521e-03
0.220000,unshaped,2.715007e-03
0.230000,unshaped,2.532427e-03
0.240000,unshaped,2.349711e-03
0.250000,unshaped,2.167752e-03
0.260000,unshaped,1.987400e-03
0.270000,unshaped,1.809454e-03
0.280000,unshaped,1.634661e-03
0.290000,unshaped,1.463706e-03
0.300000,unshaped,1.297212e-03
0.310000,unshaped,1.135731e-03
0.320000,unshaped,9.797473e-04
0.330000,unshaped,8.296689e-04
0.340000,unshaped,6.858281e-04
0.350000,unshaped,5.484796e-04
0.360000,unshaped,4.177992e-04
0.370000,unshaped,2.938840e-04
0.380000,unshaped,1.767523e-04
0.390000,unshaped,6.634489e-05
0.400000,unshaped,-3.747347e-05
0.410000,unshaped,-1.349118e-04
0.420000,unshaped,-2.262503e-04
0.430000,unshaped,-3.118365e-04
0.440000,unshaped,-3.920822e-04
0.450000,unshaped,-4.674583e-04
0.460000,unshaped,-5.384904e-04
0.470000,unshaped,-6.057536e-04
0.480000,unshaped,-6.698665e-04
0.490000,unshaped,-7.314857e-04
0.500000,unshaped,-7.912991e-04
0.510000,unshaped,-8.500198e-04
0.520000,unshaped,-9.083791e-04
0.530000,unshaped,-9.671200e-04
0.540000,unshaped,-1.026990e-03
0.550000,unshaped,-1.088735e-03
0.560000,unshaped,-1.153091e-03
0.570000,unshaped,-1.220778e-03
0.580000,unshaped,-1.292495e-03
0.590000,unshaped,-1.368911e-03
0.600000,unshaped,-1.450660e-03
0.610000,unshaped,-1.538335e-03
0.620000,unshaped,-1.632481e-03
0.630000,unshaped,-1.733595e-03
0.640000,unshaped,-1.842114e-03
0.650000,unshaped,-1.958415e-03
0.660000,unshaped,-2.082811e-03
0.670000,unshaped,-2.215547e-03
0.680000,unshaped,-2.356796e-03
0.690000,unshaped,-2.506659e-03
0.700000,unshaped,-2.665164e-03
0.710000,unshaped,-2.832261e-03
0.720000,unshaped,-3.007824e-03
0.730000,unshaped,-3.191653e-03
0.740000,unshaped,-3.383473e-03
0.750000,unshaped,-3.582934e-03
0.760000,unshaped,-3.789614e-03
0.770000,unshaped,-4.003024e-03
0.780000,unshaped,-4.222607e-03
0.790000,unshaped,-4.447745e-03
0.800000,unshaped,-4.677760e-03
0.810000,unshaped,-4.911921e-03
0.820000,unshaped,-5.149448e-03
0.830000,unshaped,-5.389518e-03
0.840000,unshaped,-5.631269e-03
0.850000,unshaped,-5.873807e-03
0.860000,unshaped,-6.116213e-03
0.870000,unshaped,-6.357548e-03
0.880000,unshaped,-6.596861e-03
0.890000,unshaped,-6.833196e-03
0.900000,unshaped,-7.065593e-03
0.910000,unshaped,-7.293105e-03
0.920000,unshaped,-7.514796e-03
0.930000,unshaped,-7.729751e-03
0.940000,unshaped,-7.937081e-03
0.950000,unshaped,-8.135932e-03
0.960000,unshaped,-8.325488e-03
0.970000,unshaped,-8.504978e-03
0.980000,unshaped,-8.673680e-03
0.990000,unshaped,-8.830929e-03
1.000000,unshaped,-8.976116e-03
1.010000,unshaped,-9.108699e-03
1.020000,unshaped,-9.228200e-03
1.030000,unshaped,-9.334214e-03
1.040000,unshaped,-9.426405e-03
1.050000,unshaped,-9.504515e-03
1.060000,unshaped,-9.568358e-03
1.070000,unshaped,-9.617829e-03
1.080000,unshaped,-9.652897e-03
1.090000,unshaped,-9.673609e-03
1.100000,unshaped,-9.680088e-03
1.110000,unshaped,-9.672529e-03
1.120000,unshaped,-9.651203e-03
1.130000,unshaped,-9.616448e-03
1.140000,unshaped,-9.568670e-03
1.150000,unshaped,-9.508339e-03
1.160000,unshaped,-9.435984e-03
1.170000,unshaped,-9.352187e-03
1.180000,unshaped,-9.257583e-03
1.190000,unshaped,-9.152849e-03
1.200000,unshaped,-9.038706e-03
1.210000,unshaped,-8.915904e-03
1.220000,unshaped,-8.785224e-03
1.230000,unshaped,-8.647468e-03
1.240000,unshaped,-8.503454e-03
1.250000,unshaped,-8.354008e-03
1.260000,unshaped,-8.199960e-03
1.270000,unshaped,-8.042137e-03
1.280000,unshaped,-7.881356e-03
1.290000,unshaped,-7.718418e-03
1.300000,unshaped,-7.554103e-03
1.310000,unshaped,-7.389162e-03
1.320000,unshaped,-7.224315e-03
1.330000,unshaped,-7.060244e-03
1.340000,unshaped,-6.897585e-03
1.350000,unshaped,-6.736931e-03
1.360000,unshaped,-6.578820e-03
1.370000,unshaped,-6.423737e-03
1.380000,unshaped,-6.272107e-03
1.390000,unshaped,-6.124295e-03
1.400000,unshaped,-5.980602e-03
1.410000,unshaped,-5.841266e-03
1.420000,unshaped,-5.706457e-03
1.430000,unshaped,-5.576280e-03
1.440000,unshaped,-5.450772e-03
1.450000,unshaped,-5.329904e-03
1.460000,unshaped,-5.213583e-03
1.470000,unshaped,-5.101653e-03
1.480000,unshaped,-4.993894e-03
1.490000,unshaped,-4.890029e-03
1.500000,unshaped,-4.789725e-03
1.510000,unshaped,-4.692596e-03
1.520000,unshaped,-4.598208e-03
1.530000,unshaped,-4.506083e-03
1.540000,unshaped,-4.415703e-03
1.550000,unshaped,-4.326515e-03
1.560000,unshaped,-4.237937e-03
1.570000,unshaped,-4.149362e-03
1.580000,unshaped,-4.060167e-03
1.590000,unshaped,-3.969714e-03
1.600000,unshaped,-3.877359e-03
1.610000,unshaped,-3.782457e-03
1.620000,unshaped,-3.684369e-03
1.630000,unshaped,-3.582465e-03
1.640000,unshaped,-3.476133e-03
1.650000,unshaped,-3.364784e-03
1.660000,unshaped,-3.247854e-03
1.670000,unshaped,-3.124816e-03
1.680000,unshaped,-2.995178e-03
1.690000,unshaped,-2.858490e-03
1.700000,unshaped,-2.714353e-03
1.710000,unshaped,-2.562414e-03
1.720000,unshaped,-2.402378e-03
1.730000,unshaped,-2.234007e-03
1.740000,unshaped,-2.057121e-03
1.750000,unshaped,-1.871606e-03
1.760000,unshaped,-1.677409e-03
1.770000,unshaped,-1.474545e-03
1.780000,unshaped,-1.263093e-03
1.790000,unshaped,-1.043199e-03
1.800000,unshaped,-8.150758e-04
1.810000,unshaped,-5.790000e-04
1.820000,unshaped,-3.353126e-04
1.830000,unshaped,-8.441616e-05
1.840000,unshaped,1.732270e-04
1.850000,unshaped,4.370980e-04
1.860000,unshaped,7.066243e-04
1.870000,unshaped,9.811836e-04
1.880000,unshaped,1.260108e-03
1.890000,unshaped,1.542687e-03
1.900000,unshaped,1.828176e-03
