frequency_hz,method,psd_n2m2_per_hz
0.000000,unshaped,6.917184e-01
0.390625,unshaped,3.147890e+00
0.781250,unshaped,9.360392e-01
1.171875,unshaped,3.843242e-01
1.562500,unshaped,1.772463e-01
1.953125,unshaped,1.187369e-01
2.343750,unshaped,8.116950e-02
2.734375,unshaped,5.764226e-02
3.125000,unshaped,4.522154e-02
3.515625,unshaped,3.504416e-02
3.906250,unshaped,2.816697e-02
4.296875,unshaped,2.361224e-02
4.687500,unshaped,1.959603e-02
5.078125,unshaped,1.677228e-02
5.468750,unshaped,1.458763e-02
5.859375,unshaped,1.259046e-02
6.250000,unshaped,1.110905e-02
6.640625,unshaped,9.870217e-03
7.031250,unshaped,8.778081e-03
7.421875,unshaped,7.923525e-03
7.812500,unshaped,7.151582e-03
8.203125,unshaped,6.491328e-03
8.593750,unshaped,5.950048e-03
8.984375,unshaped,5.436843e-03
9.375000,unshaped,5.002243e-03
9.765625,unshaped,4.631847e-03
10.156250,unshaped,4.281506e-03
10.546875,unshaped,3.986098e-03
10.937500,unshaped,3.721081e-03
11.328125,unshaped,3.471254e-03
11.718750,unshaped,3.257401e-03
12.109375,unshaped,3.059030e-03
12.500000,unshaped,2.877026e-03
12.890625,unshaped,2.717912e-03
13.281250,unshaped,2.566167e-03
13.671875,unshaped,2.430327e-03
14.062500,unshaped,2.308707e-03
14.453125,unshaped,2.190347e-03
14.843750,unshaped,2.084776e-03
15.234375,unshaped,1.988293e-03
15.625000,unshaped,1.895740e-03
16.015625,unshaped,1.813177e-03
16.406250,unshaped,1.735362e-03
16.796875,unshaped,1.661716e-03
17.187500,unshaped,1.595342e-03
17.578125,unshaped,1.531416e-03
17.968750,unshaped,1.472003e-03
18.359375,unshaped,1.417669e-03
18.750000,unshaped,1.364869e-03
19.140625,unshaped,1.316633e-03
19.531250,unshaped,1.271694e-03
19.921875,unshaped,1.227734e-03
20.312500,unshaped,1.187537e-03
20.703125,unshaped,1.149523e-03
21.093750,unshaped,1.112977e-03
21.484375,unshaped,1.079412e-03
21.875000,unshaped,1.047018e-03
22.265625,unshaped,1.016392e-03
22.656250,unshaped,9.880056e-04
23.046875,unshaped,9.602011e-04
23.437500,unshaped,9.342026e-04
23.828125,unshaped,9.098208e-04
24.218750,unshaped,8.859846e-04
24.609375,unshaped,8.639253e-04
25.000000,unshaped,8.429003e-04
25.390625,unshaped,8.223940e-04
25.781250,unshaped,8.033496e-04
26.171875,unshaped,7.849753e-04
26.562500,unshaped,7.673528e-04
26.953125,unshaped,7.508721e-04
27.343750,unshaped,7.347769e-04
