frequency_hz,controller,L_real,L_imag
0.010000,standard_pd,-4.443930e+01,-9.332258e+00
0.010000,filtered_pd,-4.445796e+01,-9.332220e+00
0.010000,avc,-4.487075e+01,-9.324577e+00
0.010093,standard_pd,-4.362729e+01,-9.246594e+00
0.010093,filtered_pd,-4.364596e+01,-9.246556e+00
0.010093,avc,-4.405103e+01,-9.238983e+00
0.010186,standard_pd,-4.283012e+01,-9.161716e+00
0.010186,filtered_pd,-4.284878e+01,-9.161678e+00
0.010186,avc,-4.324629e+01,-9.154175e+00
0.010280,standard_pd,-4.204751e+01,-9.077617e+00
0.010280,filtered_pd,-4.206618e+01,-9.077579e+00
0.010280,avc,-4.245625e+01,-9.070145e+00
0.010376,standard_pd,-4.127920e+01,-8.994290e+00
0.010376,filtered_pd,-4.129787e+01,-8.994251e+00
0.010376,avc,-4.168064e+01,-8.986886e+00
0.010472,standard_pd,-4.052493e+01,-8.911727e+00
0.010472,filtered_pd,-4.054360e+01,-8.911688e+00
0.010472,avc,-4.091921e+01,-8.904391e+00
0.010569,standard_pd,-3.978444e+01,-8.829921e+00
0.010569,filtered_pd,-3.980311e+01,-8.829882e+00
0.010569,avc,-4.017168e+01,-8.822653e+00
0.010667,standard_pd,-3.905748e+01,-8.748867e+00
0.010667,filtered_pd,-3.907614e+01,-8.748827e+00
0.010667,avc,-3.943781e+01,-8.741664e+00
0.010765,standard_pd,-3.834380e+01,-8.668555e+00
0.010765,filtered_pd,-3.836246e+01,-8.668515e+00
0.010765,avc,-3.871735e+01,-8.661419e+00
0.010865,standard_pd,-3.764316e+01,-8.588981e+00
0.010865,filtered_pd,-3.766182e+01,-8.588940e+00
0.010865,avc,-3.801006e+01,-8.581910e+00
0.010966,standard_pd,-3.695532e+01,-8.510137e+00
0.010966,filtered_pd,-3.697398e+01,-8.510096e+00
0.010966,avc,-3.731568e+01,-8.503130e+00
0.011067,standard_pd,-3.628004e+01,-8.432016e+00
0.011067,filtered_pd,-3.629871e+01,-8.431975e+00
0.011067,avc,-3.663399e+01,-8.425073e+00
0.011170,standard_pd,-3.561711e+01,-8.354612e+00
0.011170,filtered_pd,-3.563577e+01,-8.354570e+00
0.011170,avc,-3.596476e+01,-8.347732e+00
0.011273,standard_pd,-3.496628e+01,-8.277918e+00
0.011273,filtered_pd,-3.498495e+01,-8.277876e+00
0.011273,avc,-3.530775e+01,-8.271101e+00
0.011378,standard_pd,-3.432735e+01,-8.201927e+00
0.011378,filtered_pd,-3.434601e+01,-8.201885e+00
0.011378,avc,-3.466275e+01,-8.195173e+00
0.011483,standard_pd,-3.370009e+01,-8.126634e+00
0.011483,filtered_pd,-3.371875e+01,-8.126591e+00
0.011483,avc,-3.402953e+01,-8.119942e+00
0.011589,standard_pd,-3.308429e+01,-8.052032e+00
0.011589,filtered_pd,-3.310295e+01,-8.051988e+00
0.011589,avc,-3.340788e+01,-8.045400e+00
0.011697,standard_pd,-3.247974e+01,-7.978113e+00
0.011697,filtered_pd,-3.249840e+01,-7.978070e+00
