time_s,method,controller,error_deg
0.000000,unshaped,standard_pd,1.799999e+02
0.010000,unshaped,standard_pd,1.799995e+02
0.020000,unshaped,standard_pd,1.799984e+02
0.030000,unshaped,standard_pd,1.799966e+02
0.040000,unshaped,standard_pd,1.799941e+02
0.050000,unshaped,standard_pd,1.799910e+02
0.060000,unshaped,standard_pd,1.799873e+02
0.070000,unshaped,standard_pd,1.799829e+02
0.080000,unshaped,standard_pd,1.799779e+02
0.090000,unshaped,standard_pd,1.799723e+02
0.100000,unshaped,standard_pd,1.799661e+02
0.110000,unshaped,standard_pd,1.799593e+02
0.120000,unshaped,standard_pd,1.799519e+02
0.130000,unshaped,standard_pd,1.799440e+02
0.140000,unshaped,standard_pd,1.799355e+02
0.150000,unshaped,standard_pd,1.799265e+02
0.160000,unshaped,standard_pd,1.799170e+02
0.170000,unshaped,standard_pd,1.799070e+02
0.180000,unshaped,standard_pd,1.798965e+02
0.190000,unshaped,standard_pd,1.798856e+02
0.200000,unshaped,standard_pd,1.798742e+02
0.210000,unshaped,standard_pd,1.798624e+02
0.220000,unshaped,standard_pd,1.798502e+02
0.230000,unshaped,standard_pd,1.798376e+02
0.240000,unshaped,standard_pd,1.798246e+02
0.250000,unshaped,standard_pd,1.798113e+02
0.260000,unshaped,standard_pd,1.797975e+02
0.270000,unshaped,standard_pd,1.797835e+02
0.280000,unshaped,standard_pd,1.797691e+02
0.290000,unshaped,standard_pd,1.797543e+02
0.300000,unshaped,standard_pd,1.797393e+02
0.310000,unshaped,standard_pd,1.797239e+02
0.320000,unshaped,standard_pd,1.797082e+02
0.330000,unshaped,standard_pd,1.796922e+02
0.340000,unshaped,standard_pd,1.796759e+02
0.350000,unshaped,standard_pd,1.796593e+02
0.360000,unshaped,standard_pd,1.796424e+02
0.370000,unshaped,standard_pd,1.796251e+02
0.380000,unshaped,standard_pd,1.796076e+02
0.390000,unshaped,standard_pd,1.795897e+02
0.400000,unshaped,standard_pd,1.795715e+02
0.410000,unshaped,standard_pd,1.795530e+02
0.420000,unshaped,standard_pd,1.795341e+02
0.430000,unshaped,standard_pd,1.795149e+02
0.440000,unshaped,standard_pd,1.794953e+02
0.450000,unshaped,standard_pd,1.794753e+02
0.460000,unshaped,standard_pd,1.794549e+02
0.470000,unshaped,standard_pd,1.794341e+02
0.480000,unshaped,standard_pd,1.794130e+02
0.490000,unshaped,standard_pd,1.793913e+02
0.500000,unshaped,standard_pd,1.793693e+02
0.510000,unshaped,standard_pd,1.793468e+02
0.520000,unshaped,standard_pd,1.793238e+02
0.530000,unshaped,standard_pd,1.793004e+02
0.540000,unshaped,standard_pd,1.792764e+02
0.550000,unshaped,standard_pd,1.792519e+02
0.560000,unshaped,standard_pd,1.792270e+02
0.570000,unshaped,standard_pd,1.792015e+02
0.580000,unshaped,standard_pd,1.791754e+02
0.590000,unshaped,standard_pd,1.791489e+02
0.600000,unshaped,standard_pd,1.791217e+02
0.610000,unshaped,standard_pd,1.790940e+02
0.620000,unshaped,standard_pd,1.790657e+02
0.630000,unshaped,standard_pd,1.790369e+02
0.640000,unshaped,standard_pd,1.790075e+02
0.650000,unshaped,standard_pd,1.789775e+02
0.660000,unshaped,standard_pd,1.789469e+02
0.670000,unshaped,standard_pd,1.789158e+02
0.680000,unshaped,standard_pd,1.788841e+02
0.690000,unshaped,standard_pd,1.788518e+02
0.700000,unshaped,standard_pd,1.788190e+02
0.710000,unshaped,standard_pd,1.787856e+02
0.720000,unshaped,standard_pd,1.787517e+02
0.730000,unshaped,standard_pd,1.787172e+02
0.740000,unshaped,standard_pd,1.786822e+02
0.750000,unshaped,standard_pd,1.786466e+02
0.760000,unshaped,standard_pd,1.786106e+02
0.770000,unshaped,standard_pd,1.785741e+02
0.780000,unshaped,standard_pd,1.785371e+02
0.790000,unshaped,standard_pd,1.784996e+02
0.800000,unshaped,standard_pd,1.784617e+02
0.810000,unshaped,standard_pd,1.784233e+02
0.820000,unshaped,standard_pd,1.783845e+02
0.830000,unshaped,standard_pd,1.783453e+02
0.840000,unshaped,standard_pd,1.783057e+02
0.850000,unshaped,standard_pd,1.782658e+02
0.860000,unshaped,standard_pd,1.782255e+02
0.870000,unshaped,standard_pd,1.781848e+02
0.880000,unshaped,standard_pd,1.781438e+02
0.890000,unshaped,standard_pd,1.781025e+02
0.900000,unshaped,standard_pd,1.780609e+02
0.910000,unshaped,standard_pd,1.780190e+02
0.920000,unshaped,standard_pd,1.779768e+02
0.930000,unshaped,standard_pd,1.779343e+02
0.940000,unshaped,standard_pd,1.778916e+02
0.950000,unshaped,standard_pd,1.778486e+02
0.960000,unshaped,standard_pd,1.778054e+02
0.970000,unshaped,standard_pd,1.777619e+02
0.980000,unshaped,standard_pd,1.777182e+02
0.990000,unshaped,standard_pd,1.776743e+02
1.000000,unshaped,standard_pd,1.776301e+02
1.010000,unshaped,standard_pd,1.775857e+02
1.020000,unshaped,standard_pd,1.775411e+02
1.030000,unshaped,standard_pd,1.774962e+02
1.040000,unshaped,standard_pd,1.774511e+02
1.050000,unshaped,standard_pd,1.774057e+02
1.060000,unshaped,standard_pd,1.773601e+02
1.070000,unshaped,standard_pd,1.773142e+02
1.080000,unshaped,standard_pd,1.772680e+02
1.090000,unshaped,standard_pd,1.772216e+02
1.100000,unshaped,standard_pd,1.771748e+02
1.110000,unshaped,standard_pd,1.771278e+02
1.120000,unshaped,standard_pd,1.770805e+02
1.130000,unshaped,standard_pd,1.770328e+02
1.140000,unshaped,standard_pd,1.769848e+02
1.150000,unshaped,standard_pd,1.769364e+02
1.160000,unshaped,standard_pd,1.768877e+02
1.170000,unshaped,standard_pd,1.768386e+02
1.180000,unshaped,standard_pd,1.767891e+02
1.190000,unshaped,standard_pd,1.767392e+02
1.200000,unshaped,standard_pd,1.766889e+02
1.210000,unshaped,standard_pd,1.766381e+02
1.220000,unshaped,standard_pd,1.765869e+02
1.230000,unshaped,standard_pd,1.765353e+02
1.240000,unshaped,standard_pd,1.764832e+02
1.250000,unshaped,standard_pd,1.764306e+02
1.260000,unshaped,standard_pd,1.763775e+02
1.270000,unshaped,standard_pd,1.763240e+02
1.280000,unshaped,standard_pd,1.762699e+02
1.290000,unshaped,standard_pd,1.762153e+02
1.300000,unshaped,standard_pd,1.761602e+02
1.310000,unshaped,standard_pd,1.761046e+02
1.320000,unshaped,standard_pd,1.760485e+02
1.330000,unshaped,standard_pd,1.759919e+02
1.340000,unshaped,standard_pd,1.759347e+02
1.350000,unshaped,standard_pd,1.758771e+02
1.360000,unshaped,standard_pd,1.758189e+02
1.370000,unshaped,standard_pd,1.757602e+02
1.380000,unshaped,standard_pd,1.757010e+02
1.390000,unshaped,standard_pd,1.756412e+02
1.400000,unshaped,standard_pd,1.755810e+02
1.410000,unshaped,standard_pd,1.755203e+02
1.420000,unshaped,standard_pd,1.754591e+02
1.430000,unshaped,standard_pd,1.753975e+02
1.440000,unshaped,standard_pd,1.753353e+02
1.450000,unshaped,standard_pd,1.752728e+02
1.460000,unshaped,standard_pd,1.752097e+02
1.470000,unshaped,standard_pd,1.751463e+02
1.480000,unshaped,standard_pd,1.750824e+02
1.490000,unshaped,standard_pd,1.750181e+02
1.500000,unshaped,standard_pd,1.749534e+02
1.510000,unshaped,standard_pd,1.748884e+02
1.520000,unshaped,standard_pd,1.748229e+02
1.530000,unshaped,standard_pd,1.747571e+02
1.540000,unshaped,standard_pd,1.746910e+02
1.550000,unshaped,standard_pd,1.746245e+02
1.560000,unshaped,standard_pd,1.745576e+02
1.570000,unshaped,standard_pd,1.744905e+02
1.580000,unshaped,standard_pd,1.744230e+02
1.590000,unshaped,standard_pd,1.743552e+02
1.600000,unshaped,standard_pd,1.742871e+02
1.610000,unshaped,standard_pd,1.742187e+02
1.620000,unshaped,standard_pd,1.741500e+02
1.630000,unshaped,standard_pd,1.740810e+02
1.640000,unshaped,standard_pd,1.740118e+02
1.650000,unshaped,standard_pd,1.739422e+02
1.660000,unshaped,standard_pd,1.738724e+02
