frequency_hz,controller,psd_n2m2_per_hz
0.000000,standard_pd,7.596315e-01
0.390625,standard_pd,4.644412e+01
0.781250,standard_pd,2.435357e+00
1.171875,standard_pd,1.290490e-01
1.562500,standard_pd,1.114430e-01
1.953125,standard_pd,7.665625e-03
2.343750,standard_pd,1.955643e-03
2.734375,standard_pd,6.538559e-04
3.125000,standard_pd,2.903391e-04
3.515625,standard_pd,1.595906e-04
3.906250,standard_pd,7.862739e-05
4.296875,standard_pd,4.464897e-05
4.687500,standard_pd,2.894894e-05
5.078125,standard_pd,1.603719e-05
5.468750,standard_pd,9.855802e-06
5.859375,standard_pd,7.256037e-06
6.250000,standard_pd,4.668095e-06
6.640625,standard_pd,3.212084e-06
7.031250,standard_pd,2.509012e-06
7.421875,standard_pd,1.652310e-06
7.812500,standard_pd,1.144645e-06
8.203125,standard_pd,9.558689e-07
8.593750,standard_pd,6.947790e-07
8.984375,standard_pd,5.184970e-07
9.375000,standard_pd,4.431321e-07
9.765625,standard_pd,3.198865e-07
10.156250,standard_pd,2.348040e-07
10.546875,standard_pd,2.104470e-07
10.937500,standard_pd,1.648259e-07
11.328125,standard_pd,1.280643e-07
11.718750,standard_pd,1.152897e-07
12.109375,standard_pd,8.835470e-08
12.500000,standard_pd,6.692837e-08
12.890625,standard_pd,6.278392e-08
13.281250,standard_pd,5.183344e-08
13.671875,standard_pd,4.115012e-08
14.062500,standard_pd,3.825896e-08
14.453125,standard_pd,3.064673e-08
14.843750,standard_pd,2.363982e-08
15.234375,standard_pd,2.288148e-08
15.625000,standard_pd,1.968818e-08
16.015625,standard_pd,1.579939e-08
16.406250,standard_pd,1.499565e-08
16.796875,standard_pd,1.244758e-08
17.187500,standard_pd,9.703349e-09
17.578125,standard_pd,9.603882e-09
17.968750,standard_pd,8.554248e-09
18.359375,standard_pd,6.894194e-09
18.750000,standard_pd,6.626925e-09
19.140625,standard_pd,5.672177e-09
19.531250,standard_pd,4.447542e-09
19.921875,standard_pd,4.472566e-09
20.312500,standard_pd,4.106561e-09
20.703125,standard_pd,3.309535e-09
21.093750,standard_pd,3.202710e-09
21.484375,standard_pd,2.818387e-09
21.875000,standard_pd,2.215897e-09
22.265625,standard_pd,2.253128e-09
22.656250,standard_pd,2.126770e-09
23.046875,standard_pd,1.708477e-09
23.437500,standard_pd,1.656561e-09
23.828125,standard_pd,1.496254e-09
24.218750,standard_pd,1.176956e-09
24.609375,standard_pd,1.205096e-09
25.000000,standard_pd,1.167716e-09
25.390625,standard_pd,9.324155e-10
25.781250,standard_pd,9.020278e-10
26.171875,standard_pd,8.357041e-10
26.562500,standard_pd,6.563742e-10
26.953125,standard_pd,6.744977e-10
27.343750,standard_pd,6.702949e-10
27.734375,standard_pd,5.307351e-10
