frequency_hz,method,controller,psd_disp_m2_per_hz
0.000000,unshaped,standard_pd,3.596247e-05
0.390625,unshaped,standard_pd,1.559161e-04
0.781250,unshaped,standard_pd,7.424225e-05
1.171875,unshaped,standard_pd,1.036621e-05
1.562500,unshaped,standard_pd,1.615732e-06
1.953125,unshaped,standard_pd,6.566347e-07
2.343750,unshaped,standard_pd,1.877249e-07
2.734375,unshaped,standard_pd,1.168971e-07
3.125000,unshaped,standard_pd,4.993932e-08
3.515625,unshaped,standard_pd,3.683311e-08
3.906250,unshaped,standard_pd,1.438196e-08
4.296875,unshaped,standard_pd,1.493874e-08
4.687500,unshaped,standard_pd,7.657833e-09
5.078125,unshaped,standard_pd,5.369519e-09
5.468750,unshaped,standard_pd,4.187945e-09
5.859375,unshaped,standard_pd,2.640034e-09
6.250000,unshaped,standard_pd,2.200712e-09
6.640625,unshaped,standard_pd,1.554949e-09
7.031250,unshaped,standard_pd,1.211869e-09
7.421875,unshaped,standard_pd,8.475767e-10
7.812500,unshaped,standard_pd,8.322215e-10
8.203125,unshaped,standard_pd,4.596326e-10
8.593750,unshaped,standard_pd,5.319823e-10
8.984375,unshaped,standard_pd,3.360458e-10
9.375000,unshaped,standard_pd,2.950142e-10
9.765625,unshaped,standard_pd,2.654586e-10
10.156250,unshaped,standard_pd,1.860762e-10
10.546875,unshaped,standard_pd,1.731499e-10
10.937500,unshaped,standard_pd,1.453296e-10
11.328125,unshaped,standard_pd,1.141711e-10
11.718750,unshaped,standard_pd,9.864536e-11
12.109375,unshaped,standard_pd,9.222335e-11
12.500000,unshaped,standard_pd,6.391340e-11
12.890625,unshaped,standard_pd,6.851765e-11
13.281250,unshaped,standard_pd,5.255002e-11
13.671875,unshaped,standard_pd,4.324185e-11
14.062500,unshaped,standard_pd,4.416902e-11
14.453125,unshaped,standard_pd,3.314921e-11
14.843750,unshaped,standard_pd,2.954682e-11
15.234375,unshaped,standard_pd,2.916119e-11
15.625000,unshaped,standard_pd,2.145937e-11
16.015625,unshaped,standard_pd,2.083461e-11
16.406250,unshaped,standard_pd,1.941793e-11
16.796875,unshaped,standard_pd,1.438348e-11
17.187500,unshaped,standard_pd,1.525176e-11
17.578125,unshaped,standard_pd,1.271904e-11
17.968750,unshaped,standard_pd,1.044803e-11
18.359375,unshaped,standard_pd,1.078303e-11
18.750000,unshaped,standard_pd,8.842335e-12
19.140625,unshaped,standard_pd,7.487126e-12
19.531250,unshaped,standard_pd,8.018656e-12
19.921875,unshaped,standard_pd,5.834294e-12
20.312500,unshaped,standard_pd,5.993899e-12
20.703125,unshaped,standard_pd,5.394083e-12
21.093750,unshaped,standard_pd,4.495329e-12
21.484375,unshaped,standard_pd,4.309363e-12
21.875000,unshaped,standard_pd,4.052872e-12
22.265625,unshaped,standard_pd,3.210696e-12
22.656250,unshaped,standard_pd,3.377509e-12
23.046875,unshaped,standard_pd,2.877303e-12
23.437500,unshaped,standard_pd,2.483006e-12
23.828125,unshaped,standard_pd,2.560536e-12
24.218750,unshaped,standard_pd,2.121212e-12
24.609375,unshaped,standard_pd,1.904800e-12
25.000000,unshaped,standard_pd,1.996522e-12
25.390625,unshaped,standard_pd,1.498733e-12
25.781250,unshaped,standard_pd,1.600355e-12
26.171875,unshaped,standard_pd,1.425539e-12
26.562500,unshaped,standard_pd,1.203103e-12
26.953125,unshaped,standard_pd,1.256423e-12
27.343750,unshaped,standard_pd,1.050176e-12
27.734375,unshaped,standard_pd,1.006018e-12
28.125000,unshaped,standard_pd,9.122799e-13
28.515625,unshaped,standard_pd,8.961540e-13
28.906250,unshaped,standard_pd,7.021242e-13
29.296875,unshaped,standard_pd,8.219109e-13
29.687500,unshaped,standard_pd,5.961952e-13
30.078125,unshaped,standard_pd,6.536391e-13
30.468750,unshaped,standard_pd,5.839221e-13
30.859375,unshaped,standard_pd,5.060846e-13
31.250000,unshaped,standard_pd,5.258891e-13
31.640625,unshaped,standard_pd,4.398293e-13
32.031250,unshaped,standard_pd,4.502418e-13
32.421875,unshaped,standard_pd,3.662634e-13
32.812500,unshaped,standard_pd,4.262796e-13
33.203125,unshaped,standard_pd,2.782716e-13
33.593750,unshaped,standard_pd,3.945131e-13
33.984375,unshaped,standard_pd,2.478357e-13
34.375000,unshaped,standard_pd,3.132443e-13
34.765625,unshaped,standard_pd,2.588360e-13
35.156250,unshaped,standard_pd,2.372575e-13
35.546875,unshaped,standard_pd,2.530582e-13
35.937500,unshaped,standard_pd,1.934254e-13
36.328125,unshaped,standard_pd,2.365125e-13
36.718750,unshaped,standard_pd,1.547537e-13
37.109375,unshaped,standard_pd,2.269884e-13
37.500000,unshaped,standard_pd,1.244696e-13
37.890625,unshaped,standard_pd,2.032335e-13
38.281250,unshaped,standard_pd,1.225723e-13
38.671875,unshaped,standard_pd,1.602124e-13
39.062500,unshaped,standard_pd,1.330751e-13
39.453125,unshaped,standard_pd,1.237517e-13
39.843750,unshaped,standard_pd,1.338029e-13
40.234375,unshaped,standard_pd,1.015183e-13
40.625000,unshaped,standard_pd,1.300187e-13
41.015625,unshaped,standard_pd,8.238608e-14
41.406250,unshaped,standard_pd,1.268872e-13
41.796875,unshaped,standard_pd,6.989409e-14
42.187500,unshaped,standard_pd,1.149352e-13
42.578125,unshaped,standard_pd,7.139672e-14
42.968750,unshaped,standard_pd,9.405431e-14
43.359375,unshaped,standard_pd,7.835022e-14
43.750000,unshaped,standard_pd,7.613642e-14
44.140625,unshaped,standard_pd,8.124279e-14
44.531250,unshaped,standard_pd,6.428370e-14
44.921875,unshaped,standard_pd,8.189062e-14
45.312500,unshaped,standard_pd,5.534063e-14
45.703125,unshaped,standard_pd,8.077942e-14
46.093750,unshaped,standard_pd,5.169189e-14
46.484375,unshaped,standard_pd,7.429106e-14
46.875000,unshaped,standard_pd,5.478630e-14
47.265625,unshaped,standard_pd,6.461627e-14
47.656250,unshaped,standard_pd,5.954316e-14
48.046875,unshaped,standard_pd,5.681081e-14
48.437500,unshaped,standard_pd,6.317248e-14
48.828125,unshaped,standard_pd,5.077715e-14
49.218750,unshaped,standard_pd,6.693326e-14
49.609375,unshaped,standard_pd,4.620478e-14
50.000000,unshaped,standard_pd,3.449715e-14
0.000000,unshaped,filtered_pd,3.727113e-05
0.390625,unshaped,filtered_pd,1.543932e-04
0.781250,unshaped,filtered_pd,6.504405e-05
1.171875,unshaped,filtered_pd,8.747796e-06
1.562500,unshaped,filtered_pd,1.269240e-06
1.953125,unshaped,filtered_pd,5.621682e-07
2.343750,unshaped,filtered_pd,1.432742e-07
2.734375,unshaped,filtered_pd,1.037734e-07
3.125000,unshaped,filtered_pd,4.172881e-08
3.515625,unshaped,filtered_pd,3.372039e-08
3.906250,unshaped,filtered_pd,1.536113e-08
4.296875,unshaped,filtered_pd,1.293370e-08
4.687500,unshaped,filtered_pd,7.579647e-09
5.078125,unshaped,filtered_pd,5.409204e-09
5.468750,unshaped,filtered_pd,4.170520e-09
5.859375,unshaped,filtered_pd,2.813374e-09
6.250000,unshaped,filtered_pd,2.300316e-09
6.640625,unshaped,filtered_pd,1.583312e-09
7.031250,unshaped,filtered_pd,1.341468e-09
7.421875,unshaped,filtered_pd,9.501940e-10
7.812500,unshaped,filtered_pd,8.616385e-10
8.203125,unshaped,filtered_pd,5.851060e-10
8.593750,unshaped,filtered_pd,5.470108e-10
8.984375,unshaped,filtered_pd,4.081233e-10
9.375000,unshaped,filtered_pd,3.449321e-10
9.765625,unshaped,filtered_pd,2.891321e-10
10.156250,unshaped,filtered_pd,2.310048e-10
10.546875,unshaped,filtered_pd,2.054756e-10
10.937500,unshaped,filtered_pd,1.629048e-10
11.328125,unshaped,filtered_pd,1.462067e-10
11.718750,unshaped,filtered_pd,1.171411e-10
12.109375,unshaped,filtered_pd,1.078530e-10
12.500000,unshaped,filtered_pd,8.554237e-11
12.890625,unshaped,filtered_pd,7.898541e-11
13.281250,unshaped,filtered_pd,6.534938e-11
13.671875,unshaped,filtered_pd,5.940106e-11
14.062500,unshaped,filtered_pd,4.890104e-11
14.453125,unshaped,filtered_pd,4.626603e-11
14.843750,unshaped,filtered_pd,3.673707e-11
15.234375,unshaped,filtered_pd,3.654772e-11
15.625000,unshaped,filtered_pd,2.829399e-11
16.015625,unshaped,filtered_pd,2.851724e-11
16.406250,unshaped,filtered_pd,2.258287e-11
16.796875,unshaped,filtered_pd,2.232930e-11
17.187500,unshaped,filtered_pd,1.792655e-11
17.578125,unshaped,filtered_pd,1.791014e-11
17.968750,unshaped,filtered_pd,1.451368e-11
18.359375,unshaped,filtered_pd,1.412562e-11
18.750000,unshaped,filtered_pd,1.208554e-11
19.140625,unshaped,filtered_pd,1.109865e-11
19.531250,unshaped,filtered_pd,1.030267e-11
19.921875,unshaped,filtered_pd,8.632964e-12
20.312500,unshaped,filtered_pd,8.811694e-12
20.703125,unshaped,filtered_pd,6.885717e-12
21.093750,unshaped,filtered_pd,7.430103e-12
