frequency_hz,controller,S_mag_db,T_mag_db
0.010000,standard_pd,-32.9536,0.1892
0.010000,filtered_pd,-32.9572,0.1891
0.010000,avc,-33.0354,0.1875
0.010093,standard_pd,-32.7934,0.1926
0.010093,filtered_pd,-32.7971,0.1925
0.010093,avc,-32.8752,0.1909
0.010186,standard_pd,-32.6333,0.1960
0.010186,filtered_pd,-32.6370,0.1959
0.010186,avc,-32.7150,0.1943
0.010280,standard_pd,-32.4731,0.1995
0.010280,filtered_pd,-32.4769,0.1995
0.010280,avc,-32.5549,0.1978
0.010376,standard_pd,-32.3129,0.2031
0.010376,filtered_pd,-32.3168,0.2030
0.010376,avc,-32.3947,0.2013
0.010472,standard_pd,-32.1528,0.2068
0.010472,filtered_pd,-32.1567,0.2067
0.010472,avc,-32.2345,0.2050
0.010569,standard_pd,-31.9926,0.2105
0.010569,filtered_pd,-31.9966,0.2104
0.010569,avc,-32.0744,0.2086
0.010667,standard_pd,-31.8325,0.2143
0.010667,filtered_pd,-31.8365,0.2142
0.010667,avc,-31.9142,0.2124
0.010765,standard_pd,-31.6723,0.2181
0.010765,filtered_pd,-31.6764,0.2180
0.010765,avc,-31.7540,0.2162
0.010865,standard_pd,-31.5121,0.2220
0.010865,filtered_pd,-31.5163,0.2219
0.010865,avc,-31.5938,0.2201
0.010966,standard_pd,-31.3520,0.2260
0.010966,filtered_pd,-31.3563,0.2259
0.010966,avc,-31.4337,0.2240
0.011067,standard_pd,-31.1918,0.2300
0.011067,filtered_pd,-31.1962,0.2299
0.011067,avc,-31.2735,0.2280
0.011170,standard_pd,-31.0317,0.2341
0.011170,filtered_pd,-31.0361,0.2340
0.011170,avc,-31.1134,0.2321
0.011273,standard_pd,-30.8715,0.2383
0.011273,filtered_pd,-30.8760,0.2382
0.011273,avc,-30.9532,0.2362
0.011378,standard_pd,-30.7114,0.2425
0.011378,filtered_pd,-30.7160,0.2424
0.011378,avc,-30.7930,0.2404
0.011483,standard_pd,-30.5513,0.2468
0.011483,filtered_pd,-30.5559,0.2467
0.011483,avc,-30.6329,0.2447
0.011589,standard_pd,-30.3911,0.2512
0.011589,filtered_pd,-30.3959,0.2511
0.011589,avc,-30.4727,0.2491
0.011697,standard_pd,-30.2310,0.2557
0.011697,filtered_pd,-30.2358,0.2556
0.011697,avc,-30.3126,0.2535
0.011805,standard_pd,-30.0708,0.2603
0.011805,filtered_pd,-30.0758,0.2601
0.011805,avc,-30.1525,0.2580
0.011915,standard_pd,-29.9107,0.2649
0.011915,filtered_pd,-29.9157,0.2647
0.011915,avc,-29.9923,0.2626
0.012025,standard_pd,-29.7506,0.2696
0.012025,filtered_pd,-29.7557,0.2694
0.012025,avc,-29.8322,0.2673
0.012136,standard_pd,-29.5905,0.2743
0.012136,filtered_pd,-29.5957,0.2742
0.012136,avc,-29.6720,0.2720
0.012249,standard_pd,-29.4304,0.2792
0.012249,filtered_pd,-29.4356,0.2790
0.012249,avc,-29.5119,0.2768
0.012362,standard_pd,-29.2702,0.2841
0.012362,filtered_pd,-29.2756,0.2840
0.012362,avc,-29.3518,0.2817
0.012477,standard_pd,-29.1101,0.2892
0.012477,filtered_pd,-29.1156,0.2890
0.012477,avc,-29.1917,0.2867
0.012592,standard_pd,-28.9500,0.2943
0.012592,filtered_pd,-28.9556,0.2941
0.012592,avc,-29.0315,0.2918
0.012709,standard_pd,-28.7899,0.2995
0.012709,filtered_pd,-28.7956,0.2993
0.012709,avc,-28.8714,0.2969
0.012826,standard_pd,-28.6298,0.3047
0.012826,filtered_pd,-28.6356,0.3045
0.012826,avc,-28.7113,0.3022
0.012945,standard_pd,-28.4697,0.3101
0.012945,filtered_pd,-28.4756,0.3099
0.012945,avc,-28.5512,0.3075
0.013065,standard_pd,-28.3097,0.3155
0.013065,filtered_pd,-28.3156,0.3153
0.013065,avc,-28.3911,0.3129
0.013186,standard_pd,-28.1496,0.3211
0.013186,filtered_pd,-28.1557,0.3209
0.013186,avc,-28.2310,0.3184
0.013308,standard_pd,-27.9895,0.3267
0.013308,filtered_pd,-27.9957,0.3265
0.013308,avc,-28.0709,0.3240
0.013432,standard_pd,-27.8294,0.3324
0.013432,filtered_pd,-27.8358,0.3322
0.013432,avc,-27.9108,0.3297
0.013556,standard_pd,-27.6694,0.3383
0.013556,filtered_pd,-27.6758,0.3380
0.013556,avc,-27.7508,0.3354
0.013682,standard_pd,-27.5093,0.3442
0.013682,filtered_pd,-27.5159,0.3439
0.013682,avc,-27.5907,0.3413
0.013808,standard_pd,-27.3493,0.3502
0.013808,filtered_pd,-27.3559,0.3499
0.013808,avc,-27.4306,0.3473
0.013936,standard_pd,-27.1893,0.3563
0.013936,filtered_pd,-27.1960,0.3560
0.013936,avc,-27.2706,0.3533
0.014065,standard_pd,-27.0292,0.3625
0.014065,filtered_pd,-27.0361,0.3622
0.014065,avc,-27.1105,0.3595
0.014196,standard_pd,-26.8692,0.3688
0.014196,filtered_pd,-26.8762,0.3685
0.014196,avc,-26.9505,0.3658
0.014327,standard_pd,-26.7092,0.3752
0.014327,filtered_pd,-26.7163,0.3749
0.014327,avc,-26.7904,0.3721
0.014460,standard_pd,-26.5492,0.3817
0.014460,filtered_pd,-26.5564,0.3814
0.014460,avc,-26.6304,0.3786
0.014594,standard_pd,-26.3892,0.3883
0.014594,filtered_pd,-26.3966,0.3880
0.014594,avc,-26.4704,0.3851
0.014729,standard_pd,-26.2292,0.3950
0.014729,filtered_pd,-26.2367,0.3947
0.014729,avc,-26.3104,0.3918
0.014865,standard_pd,-26.0692,0.4019
0.014865,filtered_pd,-26.0769,0.4015
0.014865,avc,-26.1504,0.3986
0.015003,standard_pd,-25.9093,0.4088
0.015003,filtered_pd,-25.9171,0.4085
0.015003,avc,-25.9904,0.4055
0.015142,standard_pd,-25.7493,0.4158
0.015142,filtered_pd,-25.7572,0.4155
0.015142,avc,-25.8304,0.4125
0.015282,standard_pd,-25.5894,0.4230
0.015282,filtered_pd,-25.5974,0.4226
0.015282,avc,-25.6705,0.4196
