factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
disturbance_frequency_hz,0,0.821059,s_curve_standard_pd,0.235833,0.00359791,18.6793,7.72714,0.00473633,0.00136968,-37.3789,-109.316
disturbance_frequency_hz,0,0.821059,fourth_standard_pd,0.0788646,0.00128802,16.6994,8.11931,0.00460854,0.000868455,-37.5667,-113.668
disturbance_frequency_hz,1,0.120044,s_curve_standard_pd,0.235769,0.00362898,18.6785,7.7271,3.70736,1.19922,24.3531,-45.6729
disturbance_frequency_hz,1,0.120044,fourth_standard_pd,0.0787304,0.00134612,16.7015,8.11916,3.68961,1.40582,24.2722,-45.0713
disturbance_frequency_hz,2,1.40062,s_curve_standard_pd,0.235887,0.00359819,18.6844,7.72714,0.00102083,0.00607914,-51.2793,-94.5094
disturbance_frequency_hz,2,1.40062,fourth_standard_pd,0.0790302,0.00129078,16.7036,8.11931,0.00103206,0.00428388,-51.3125,-96.6133
disturbance_frequency_hz,3,0.153807,s_curve_standard_pd,0.235737,0.00362002,18.6819,7.72709,0.708674,0.376295,9.5528,-56.249
disturbance_frequency_hz,3,0.153807,fourth_standard_pd,0.0786689,0.0013256,16.6997,8.11917,0.78498,0.750198,10.5558,-50.2831
disturbance_frequency_hz,4,14.4942,s_curve_standard_pd,0.235848,0.00359774,18.6862,7.72715,6.08561e-06,1.11604e-05,-110.166,-147.837
disturbance_frequency_hz,4,14.4942,fourth_standard_pd,0.0788798,0.00128929,16.7102,8.11931,3.41745e-06,1.11905e-05,-111.493,-147.817
disturbance_frequency_hz,5,21.9344,s_curve_standard_pd,0.235848,0.00359774,18.6853,7.72715,3.01102e-06,4.58133e-06,-115.881,-155.682
disturbance_frequency_hz,5,21.9344,fourth_standard_pd,0.0788798,0.00128929,16.7102,8.11931,1.57524e-06,4.58016e-06,-117.162,-155.682
disturbance_frequency_hz,6,3.5413,s_curve_standard_pd,0.235848,0.00359773,18.686,7.72715,0.000123614,0.000237425,-74.6933,-122.568
disturbance_frequency_hz,6,3.5413,fourth_standard_pd,0.0788799,0.00128929,16.7106,8.11931,0.00010853,0.000221217,-75.8279,-122.972
disturbance_frequency_hz,7,5.44812,s_curve_standard_pd,0.235848,0.00359774,18.6837,7.72715,4.72784e-05,8.68159e-05,-85.4985,-130.914
disturbance_frequency_hz,7,5.44812,fourth_standard_pd,0.0788798,0.00128929,16.7065,8.11931,3.71461e-05,8.59006e-05,-86.2957,-130.964
disturbance_frequency_hz,8,1.40273,s_curve_standard_pd,0.235886,0.00359804,18.6845,7.72714,0.00102119,0.00640152,-51.2844,-93.943
disturbance_frequency_hz,8,1.40273,fourth_standard_pd,0.0790319,0.00129082,16.7054,8.11931,0.00103242,0.00442431,-51.3184,-96.2256
disturbance_frequency_hz,9,0.175218,s_curve_standard_pd,0.235832,0.00360151,18.6806,7.72712,0.708681,0.376451,1.01614,-62.7576
disturbance_frequency_hz,9,0.175218,fourth_standard_pd,0.0789127,0.00129467,16.6991,8.1193,0.78499,0.751216,0.983279,-56.6448
disturbance_frequency_hz,10,3.32371,s_curve_standard_pd,0.235848,0.00359771,18.6812,7.72715,0.000127914,0.000250656,-73.3863,-120.749
disturbance_frequency_hz,10,3.32371,fourth_standard_pd,0.0788794,0.00128928,16.7112,8.11931,0.000122681,0.000258739,-74.0352,-120.396
disturbance_frequency_hz,11,3.60921,s_curve_standard_pd,0.235848,0.00359774,18.6781,7.72715,0.000113093,0.000225345,-74.4964,-121.817
disturbance_frequency_hz,11,3.60921,fourth_standard_pd,0.0788802,0.00128929,16.7095,8.11931,9.53068e-05,0.000212131,-76.2029,-122.114
disturbance_frequency_hz,12,16.0211,s_curve_standard_pd,0.235848,0.00359774,18.6863,7.72715,5.08041e-06,9.04519e-06,-108.375,-149.584
disturbance_frequency_hz,12,16.0211,fourth_standard_pd,0.0788798,0.00128929,16.7099,8.11931,2.89499e-06,9.05897e-06,-114.489,-149.57
disturbance_frequency_hz,13,0.58438,s_curve_standard_pd,0.235701,0.00359445,18.673,7.72714,0.013718,0.0258678,-28.4522,-85.6504
disturbance_frequency_hz,13,0.58438,fourth_standard_pd,0.0789107,0.00128869,16.711,8.11931,0.0138035,0.0443892,-28.4466,-77.5226
disturbance_frequency_hz,14,0.114304,s_curve_standard_pd,0.23571,0.003632,18.6778,7.72705,3.70739,1.19895,24.3532,-45.6746
