factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
inertia_scale,0,0.920063,s_curve_standard_pd,0.23012,0.00353152,17.712,7.32692
inertia_scale,0,0.920063,fourth_standard_pd,0.0807469,0.00132833,15.8441,7.69899
inertia_scale,1,0.851132,s_curve_standard_pd,0.224979,0.00347296,16.8799,6.9818
inertia_scale,1,0.851132,fourth_standard_pd,0.0824773,0.00136532,15.1044,7.33654
inertia_scale,2,1.29228,s_curve_standard_pd,0.254681,0.0038212,22.1983,9.19049
inertia_scale,2,1.29228,fourth_standard_pd,0.0731707,0.00117456,19.8387,9.65612
inertia_scale,3,1.02806,s_curve_standard_pd,0.237795,0.00362049,19.0147,7.86765
inertia_scale,3,1.02806,fourth_standard_pd,0.0782584,0.00127648,17.0029,8.26687
inertia_scale,4,0.780158,s_curve_standard_pd,0.219477,0.00341136,16.0228,6.62646
inertia_scale,4,0.780158,fourth_standard_pd,0.0843787,0.00140702,14.3427,6.96334
inertia_scale,5,1.05901,s_curve_standard_pd,0.239914,0.00364531,19.3877,8.02257
inertia_scale,5,1.05901,fourth_standard_pd,0.0775918,0.00126286,17.335,8.42956
inertia_scale,6,0.777798,s_curve_standard_pd,0.219293,0.00340931,15.9943,6.61464
inertia_scale,6,0.777798,fourth_standard_pd,0.0844428,0.00140847,14.3174,6.95094
inertia_scale,7,0.750539,s_curve_standard_pd,0.217121,0.0033853,15.665,6.47816
inertia_scale,7,0.750539,fourth_standard_pd,0.0852046,0.00142559,14.0248,6.80761
inertia_scale,8,0.909593,s_curve_standard_pd,0.229352,0.0035227,17.5856,7.2745
inertia_scale,8,0.909593,fourth_standard_pd,0.081003,0.00133375,15.7317,7.64393
inertia_scale,9,0.736972,s_curve_standard_pd,0.216024,0.00337327,15.5011,6.41024
inertia_scale,9,0.736972,fourth_standard_pd,0.0855892,0.00143434,13.8791,6.73627
inertia_scale,10,1.0064,s_curve_standard_pd,0.236295,0.00360295,18.7535,7.7592
inertia_scale,10,1.0064,fourth_standard_pd,0.0787361,0.00128633,16.7705,8.15297
inertia_scale,11,1.00368,s_curve_standard_pd,0.236105,0.00360074,18.7206,7.74557
inertia_scale,11,1.00368,fourth_standard_pd,0.0787971,0.00128759,16.7413,8.13865
inertia_scale,12,0.804583,s_curve_standard_pd,0.221396,0.00343274,16.3178,6.74875
inertia_scale,12,0.804583,fourth_standard_pd,0.0837102,0.00139224,14.6049,7.09177
inertia_scale,13,1.14386,s_curve_standard_pd,0.245519,0.00371157,20.4102,8.4474
inertia_scale,13,1.14386,fourth_standard_pd,0.0758683,0.00122799,18.2456,8.87572
inertia_scale,14,0.810794,s_curve_standard_pd,0.221879,0.00343814,16.3928,6.77985
inertia_scale,14,0.810794,fourth_standard_pd,0.0835429,0.00138855,14.6715,7.12444
inertia_scale,15,1.2715,s_curve_standard_pd,0.25346,0.00380651,21.9479,9.08645
inertia_scale,15,1.2715,fourth_standard_pd,0.0735249,0.00118152,19.6156,9.54687
inertia_scale,16,0.8818,s_curve_standard_pd,0.227293,0.00349919,17.2502,7.13535
inertia_scale,16,0.8818,fourth_standard_pd,0.0816943,0.00134846,15.4335,7.49779
inertia_scale,17,0.870269,s_curve_standard_pd,0.226425,0.00348935,17.111,7.07762
inertia_scale,17,0.870269,fourth_standard_pd,0.0819864,0.00135472,15.3098,7.43716
inertia_scale,18,0.97036,s_curve_standard_pd,0.233755,0.00357343,18.3188,7.57874
inertia_scale,18,0.97036,fourth_standard_pd,0.0795555,0.00130331,16.3838,7.96345
inertia_scale,19,0.992909,s_curve_standard_pd,0.235347,0.00359193,18.5907,7.69164
inertia_scale,19,0.992909,fourth_standard_pd,0.0790402,0.0012926,16.6257,8.08202
inertia_scale,20,1.12428,s_curve_standard_pd,0.244249,0.00369652,20.1743,8.34937
inertia_scale,20,1.12428,fourth_standard_pd,0.0762532,0.00123573,18.0354,8.77278
inertia_scale,21,0.959386,s_curve_standard_pd,0.232967,0.00356432,18.1864,7.5238
inertia_scale,21,0.959386,fourth_standard_pd,0.0798107,0.00130863,16.266,7.90575
inertia_scale,22,0.842968,s_curve_standard_pd,0.224357,0.00346595,16.7813,6.94093
inertia_scale,22,0.842968,fourth_standard_pd,0.0826905,0.00136992,15.0168,7.29361
inertia_scale,23,0.836108,s_curve_standard_pd,0.223831,0.00346002,16.6985,6.90658
inertia_scale,23,0.836108,fourth_standard_pd,0.0828702,0.00137383,14.9432,7.25754
