factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_damping_scale,0,0.990147,s_curve_standard_pd,0.236269,0.00360388,18.6764,7.72714
modal_damping_scale,0,0.990147,fourth_standard_pd,0.0788441,0.00128873,16.7017,8.1193
modal_damping_scale,1,0.96747,s_curve_standard_pd,0.237246,0.00361815,18.6769,7.72714
modal_damping_scale,1,0.96747,fourth_standard_pd,0.0787606,0.00128744,16.7016,8.11931
modal_damping_scale,2,1.17875,s_curve_standard_pd,0.228617,0.00349192,18.6731,7.72713
modal_damping_scale,2,1.17875,fourth_standard_pd,0.0795399,0.00129943,16.703,8.11928
modal_damping_scale,3,1.15092,s_curve_standard_pd,0.229694,0.00350771,18.6735,7.72713
modal_damping_scale,3,1.15092,fourth_standard_pd,0.0794363,0.00129786,16.7028,8.11928
modal_damping_scale,4,0.97352,s_curve_standard_pd,0.236984,0.00361433,18.6768,7.72714
modal_damping_scale,4,0.97352,fourth_standard_pd,0.0787826,0.00128778,16.7016,8.11931
modal_damping_scale,5,0.747461,s_curve_standard_pd,0.247442,0.00376663,18.6815,7.72716
modal_damping_scale,5,0.747461,fourth_standard_pd,0.077966,0.00127493,16.6999,8.11934
modal_damping_scale,6,0.893986,s_curve_standard_pd,0.240498,0.00366561,18.6784,7.72715
modal_damping_scale,6,0.893986,fourth_standard_pd,0.0784926,0.00128327,16.701,8.11932
modal_damping_scale,7,1.04106,s_curve_standard_pd,0.234122,0.00357251,18.6755,7.72714
modal_damping_scale,7,1.04106,fourth_standard_pd,0.0790324,0.00129163,16.7021,8.1193
modal_damping_scale,8,0.824441,s_curve_standard_pd,0.243714,0.00371242,18.6798,7.72715
modal_damping_scale,8,0.824441,fourth_standard_pd,0.0782439,0.00127935,16.7005,8.11933
modal_damping_scale,9,1.03833,s_curve_standard_pd,0.234235,0.00357417,18.6755,7.72714
modal_damping_scale,9,1.03833,fourth_standard_pd,0.0790225,0.00129147,16.7021,8.1193
