factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_frequency_scale,0,0.829335,s_curve_standard_pd,0.456097,0.0069548,18.6938,7.73127
modal_frequency_scale,0,0.829335,fourth_standard_pd,0.245919,0.00401215,16.9501,8.1259
modal_frequency_scale,1,1.12657,s_curve_standard_pd,0.154551,0.0023543,18.7167,7.72521
modal_frequency_scale,1,1.12657,fourth_standard_pd,0.119925,0.00183687,16.6642,8.11595
modal_frequency_scale,2,0.985955,s_curve_standard_pd,0.247641,0.00377749,18.6589,7.7274
modal_frequency_scale,2,0.985955,fourth_standard_pd,0.0762967,0.0012807,16.7149,8.11975
modal_frequency_scale,3,0.826408,s_curve_standard_pd,0.460954,0.00702885,18.6996,7.73137
modal_frequency_scale,3,0.826408,fourth_standard_pd,0.246461,0.00402796,16.9547,8.12605
modal_frequency_scale,4,1.08335,s_curve_standard_pd,0.177997,0.00271324,18.723,7.72579
modal_frequency_scale,4,1.08335,fourth_standard_pd,0.11272,0.00172807,16.6621,8.11697
modal_frequency_scale,5,0.823462,s_curve_standard_pd,0.465603,0.00709984,18.7054,7.73146
modal_frequency_scale,5,0.823462,fourth_standard_pd,0.247316,0.00404935,16.9596,8.12619
modal_frequency_scale,6,0.764103,s_curve_standard_pd,0.608772,0.00927543,18.8106,7.73363
modal_frequency_scale,6,0.764103,fourth_standard_pd,0.548599,0.00877956,17.1175,8.12888
modal_frequency_scale,7,1.27295,s_curve_standard_pd,0.101031,0.00153618,18.6527,7.72365
modal_frequency_scale,7,1.27295,fourth_standard_pd,0.10151,0.00156207,16.7018,8.11314
modal_frequency_scale,8,1.28154,s_curve_standard_pd,0.0987323,0.00150102,18.652,7.72357
modal_frequency_scale,8,1.28154,fourth_standard_pd,0.102253,0.00157345,16.7027,8.113
modal_frequency_scale,9,0.9949,s_curve_standard_pd,0.240256,0.00366491,18.6703,7.72724
modal_frequency_scale,9,0.9949,fourth_standard_pd,0.0777089,0.00128214,16.7062,8.11946
modal_frequency_scale,10,0.86865,s_curve_standard_pd,0.378954,0.00578399,18.6697,7.73011
modal_frequency_scale,10,0.86865,fourth_standard_pd,0.223913,0.00364138,16.8958,8.12409
modal_frequency_scale,11,0.802057,s_curve_standard_pd,0.498137,0.00759964,18.7478,7.7322
modal_frequency_scale,11,0.802057,fourth_standard_pd,0.275808,0.00455674,17.0027,8.12723
modal_frequency_scale,12,1.07815,s_curve_standard_pd,0.18118,0.00276177,18.7226,7.72587
modal_frequency_scale,12,1.07815,fourth_standard_pd,0.111402,0.00170861,16.6649,8.1171
modal_frequency_scale,13,0.975889,s_curve_standard_pd,0.255498,0.0038976,18.6608,7.7276
modal_frequency_scale,13,0.975889,fourth_standard_pd,0.0758523,0.00129819,16.7257,8.12007
modal_frequency_scale,14,1.22041,s_curve_standard_pd,0.1173,0.00178467,18.6536,7.72414
modal_frequency_scale,14,1.22041,fourth_standard_pd,0.105082,0.00161842,16.6934,8.11407
modal_frequency_scale,15,1.10397,s_curve_standard_pd,0.165724,0.00252564,18.722,7.72551
modal_frequency_scale,15,1.10397,fourth_standard_pd,0.116549,0.00178515,16.6552,8.11647
modal_frequency_scale,16,0.823422,s_curve_standard_pd,0.465664,0.00710078,18.7055,7.73147
modal_frequency_scale,16,0.823422,fourth_standard_pd,0.247331,0.00404968,16.9597,8.12619
modal_frequency_scale,17,0.936139,s_curve_standard_pd,0.294897,0.00450055,18.6652,7.72843
modal_frequency_scale,17,0.936139,fourth_standard_pd,0.0963329,0.00169401,16.7809,8.12144
modal_frequency_scale,18,1.1748,s_curve_standard_pd,0.133763,0.00203655,18.6917,7.72463
modal_frequency_scale,18,1.1748,fourth_standard_pd,0.118701,0.00182443,16.6813,8.11493
modal_frequency_scale,19,0.805615,s_curve_standard_pd,0.492095,0.00750683,18.7409,7.73207
modal_frequency_scale,19,0.805615,fourth_standard_pd,0.267073,0.00441112,16.9944,8.12706
modal_frequency_scale,20,1.08808,s_curve_standard_pd,0.175092,0.00266889,18.7231,7.72573
modal_frequency_scale,20,1.08808,fourth_standard_pd,0.11376,0.00174348,16.6593,8.11686
modal_frequency_scale,21,1.10573,s_curve_standard_pd,0.164753,0.00251075,18.7217,7.72548
modal_frequency_scale,21,1.10573,fourth_standard_pd,0.116825,0.0017893,16.6559,8.11643
modal_frequency_scale,22,1.17955,s_curve_standard_pd,0.131782,0.00200623,18.6883,7.72458
modal_frequency_scale,22,1.17955,fourth_standard_pd,0.117474,0.00180625,16.6828,8.11484
modal_frequency_scale,23,0.944194,s_curve_standard_pd,0.284864,0.00434758,18.6667,7.72826
modal_frequency_scale,23,0.944194,fourth_standard_pd,0.0881318,0.00155711,16.7681,8.12116
modal_frequency_scale,24,1.0236,s_curve_standard_pd,0.215423,0.00328613,18.6991,7.72673
modal_frequency_scale,24,1.0236,fourth_standard_pd,0.0873548,0.00137761,16.6856,8.11859
modal_frequency_scale,25,0.833487,s_curve_standard_pd,0.448754,0.00684313,18.6857,7.73114
modal_frequency_scale,25,0.833487,fourth_standard_pd,0.245446,0.0039955,16.9437,8.1257
modal_frequency_scale,26,1.01829,s_curve_standard_pd,0.219797,0.00335299,18.6947,7.72682
modal_frequency_scale,26,1.01829,fourth_standard_pd,0.0850429,0.00135024,16.6886,8.11875
modal_frequency_scale,27,1.15487,s_curve_standard_pd,0.142406,0.00216852,18.7042,7.72486
modal_frequency_scale,27,1.15487,fourth_standard_pd,0.121672,0.00186678,16.6747,8.11533
modal_frequency_scale,28,0.721275,s_curve_standard_pd,0.714667,0.0108934,18.8445,7.73554
modal_frequency_scale,28,0.721275,fourth_standard_pd,1.19863,0.0182465,17.2569,8.13007
