factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
sensor_noise_frequency_hz,0,0.177748,s_curve_standard_pd,1.81327,0.110655,21.5277,8.06449,0.70322,1.85601,1.84239,-44.0438
sensor_noise_frequency_hz,0,0.177748,fourth_standard_pd,1.79289,0.110668,19.6872,8.43734,0.777719,1.8458,1.84399,-44.1276
sensor_noise_frequency_hz,1,2.32789,s_curve_standard_pd,0.407292,0.00625503,23.6914,8.49789,0.0040683,0.331883,-37.1104,-58.822
sensor_noise_frequency_hz,1,2.32789,fourth_standard_pd,0.341506,0.00535523,21.664,8.85511,0.00408349,0.33183,-37.0173,-58.8234
sensor_noise_frequency_hz,2,2.81706,s_curve_standard_pd,0.305987,0.00470694,23.7331,8.50992,0.00245565,0.194476,-41.4524,-63.4003
sensor_noise_frequency_hz,2,2.81706,fourth_standard_pd,0.209624,0.00335136,21.7162,8.86691,0.00246995,0.19447,-41.3281,-63.4004
sensor_noise_frequency_hz,3,4.5283,s_curve_standard_pd,0.244493,0.0037364,23.7399,8.52033,0.000841614,0.0641522,-50.6422,-72.8854
sensor_noise_frequency_hz,3,4.5283,fourth_standard_pd,0.101895,0.00165972,21.7624,8.87712,0.000840082,0.0641492,-50.6511,-72.8857
sensor_noise_frequency_hz,4,3.45647,s_curve_standard_pd,0.263845,0.00404601,23.7377,8.51614,0.00151655,0.117834,-45.4127,-67.4735
sensor_noise_frequency_hz,4,3.45647,fourth_standard_pd,0.141885,0.00229805,21.7502,8.87292,0.00152229,0.117821,-45.3153,-67.4743
sensor_noise_frequency_hz,5,0.652264,s_curve_standard_pd,1.06303,0.0210796,23.3379,8.42661,0.0215489,1.00218,-21.9102,-49.1335
sensor_noise_frequency_hz,5,0.652264,fourth_standard_pd,1.03213,0.0207861,21.5192,8.77912,0.0214788,0.995324,-21.9092,-49.1921
sensor_noise_frequency_hz,6,3.02576,s_curve_standard_pd,0.286524,0.00440261,23.7455,8.51298,0.00207095,0.162301,-42.2463,-64.4474
sensor_noise_frequency_hz,6,3.02576,fourth_standard_pd,0.180729,0.00290331,21.7491,8.86989,0.00207738,0.162288,-42.1457,-64.4478
sensor_noise_frequency_hz,7,28.5762,s_curve_standard_pd,0.235859,0.00359793,23.7696,8.52491,1.9284e-05,0.00122643,-85.1447,-107.198
sensor_noise_frequency_hz,7,28.5762,fourth_standard_pd,0.0789133,0.00128972,21.7578,8.88187,1.87691e-05,0.00122643,-85.119,-107.198
sensor_noise_frequency_hz,8,2.86841,s_curve_standard_pd,0.300042,0.00461522,23.7371,8.51051,0.00235689,0.185627,-41.6573,-63.6402
sensor_noise_frequency_hz,8,2.86841,fourth_standard_pd,0.202118,0.00323614,21.7265,8.86756,0.00236207,0.18564,-41.5548,-63.6399
sensor_noise_frequency_hz,9,4.46511,s_curve_standard_pd,0.245,0.00374474,23.7649,8.52037,0.000869327,0.0661501,-51.101,-73.3634
sensor_noise_frequency_hz,9,4.46511,fourth_standard_pd,0.10323,0.00168153,21.7453,8.87718,0.000868372,0.0661495,-51.0899,-73.3635
sensor_noise_frequency_hz,10,1.91536,s_curve_standard_pd,0.716025,0.0108652,23.6032,8.46013,0.00781051,0.675086,-31.0906,-52.347
sensor_noise_frequency_hz,10,1.91536,fourth_standard_pd,0.679633,0.0103929,21.5825,8.8189,0.00780074,0.67505,-31.0875,-52.3476
sensor_noise_frequency_hz,11,1.1867,s_curve_standard_pd,0.694566,0.0101072,23.7151,8.49614,0.00448359,0.6347,-36.084,-52.8502
sensor_noise_frequency_hz,11,1.1867,fourth_standard_pd,0.659684,0.00957477,21.6189,8.85215,0.00458984,0.634329,-35.8727,-52.8546
sensor_noise_frequency_hz,12,5.47656,s_curve_standard_pd,0.239719,0.00366057,23.7501,8.52207,0.000563146,0.0426154,-53.9559,-76.1998
sensor_noise_frequency_hz,12,5.47656,fourth_standard_pd,0.0897001,0.00146412,21.7529,8.87891,0.000563082,0.0426168,-53.8977,-76.1996
sensor_noise_frequency_hz,13,2.772,s_curve_standard_pd,0.310906,0.00478341,23.7131,8.50922,0.00256761,0.202779,-40.8606,-62.8028
sensor_noise_frequency_hz,13,2.772,fourth_standard_pd,0.21782,0.00347535,21.7115,8.86639,0.00257317,0.202808,-40.7551,-62.8019
